file,result,,
20190614_101000_0,1,1,
20190614_101000_1,1,1,
20190614_101000_2,1,1,
20190614_101000_3,1,1,
20190614_101000_4,0,0,
20190614_101000_5,1,1,
20190614_102000_0,0,0,
20190614_102000_1,0,0,
20190614_102000_2,0,0,
20190614_102000_3,0,0,
20190614_102000_4,0,0,
20190614_102000_5,0,0,
20190614_103000_0,1,1,
20190614_103000_1,1,1,
20190614_103000_2,1,1,
20190614_103000_3,1,1,
20190614_103000_4,1,1,
20190614_103000_5,1,1,
20190614_104000_0,0,0,
20190614_104000_1,0,0,
20190614_104000_2,0,0,
20190614_104000_3,0,0,
20190614_104000_4,0,0,
20190614_104000_5,0,0,
20190614_105000_0,1,1,
20190614_105000_1,1,1,
20190614_105000_2,1,0,1
20190614_105000_3,1,0,1
20190614_105000_4,1,1,
20190614_105000_5,1,1,
20190614_110000_0,0,0,
20190614_110000_1,0,0,
20190614_110000_2,0,0,
20190614_110000_3,0,0,
20190614_110000_4,0,0,
20190614_110000_5,0,0,
