,Unnamed: 0,FOLDER,IN FILE,CLIP LENGTH,CHANNEL,OFFSET,DURATION,SAMPLE RATE,MANUAL ID,CONFIDENCE
16,16,./../all_10_species/,XC479116 - Pale-breasted Thrush - Turdus leucomelas.mp3,23.38039583333333,0,9.0,3.0,48000,Turdus rufiventris,0.7282162308692932
18,18,./../all_10_species/,XC479116 - Pale-breasted Thrush - Turdus leucomelas.mp3,23.38039583333333,0,15.0,3.0,48000,Turdus leucomelas,0.8142596483230591
19,19,./../all_10_species/,XC479116 - Pale-breasted Thrush - Turdus leucomelas.mp3,23.38039583333333,0,18.0,3.0,48000,Turdus leucomelas,0.5162777304649353
20,20,./../all_10_species/,XC479116 - Pale-breasted Thrush - Turdus leucomelas.mp3,23.38039583333333,0,21.0,3.0,48000,Turdus leucomelas,0.7386501431465149
21,21,./../all_10_species/,XC259680 - Blue-grey Tanager - Thraupis episcopus coelestis.mp3,40.93389583333333,0,0.0,3.0,48000,Thraupis episcopus,0.962007462978363
22,22,./../all_10_species/,XC259680 - Blue-grey Tanager - Thraupis episcopus coelestis.mp3,40.93389583333333,0,3.0,3.0,48000,Thraupis episcopus,0.8125973343849182
23,23,./../all_10_species/,XC259680 - Blue-grey Tanager - Thraupis episcopus coelestis.mp3,40.93389583333333,0,6.0,3.0,48000,Melaenornis edolioides,0.530035674571991
26,26,./../all_10_species/,XC259680 - Blue-grey Tanager - Thraupis episcopus coelestis.mp3,40.93389583333333,0,15.0,3.0,48000,Thraupis episcopus,0.5894876718521118
27,27,./../all_10_species/,XC259680 - Blue-grey Tanager - Thraupis episcopus coelestis.mp3,40.93389583333333,0,18.0,3.0,48000,Thraupis episcopus,0.8644583821296692
28,28,./../all_10_species/,XC259680 - Blue-grey Tanager - Thraupis episcopus coelestis.mp3,40.93389583333333,0,21.0,3.0,48000,Thraupis episcopus,0.9756399393081664
32,32,./../all_10_species/,XC259680 - Blue-grey Tanager - Thraupis episcopus coelestis.mp3,40.93389583333333,0,33.0,3.0,48000,Thraupis episcopus,0.976496160030365
33,33,./../all_10_species/,XC259680 - Blue-grey Tanager - Thraupis episcopus coelestis.mp3,40.93389583333333,0,36.0,3.0,48000,Thraupis episcopus,0.8499754071235657
37,37,./../all_10_species/,XC232427 - Buff-throated Woodcreeper - Xiphorhynchus guttatus.mp3,15.735291666666669,0,0.0,3.0,48000,Xiphorhynchus guttatus,0.8206807374954224
38,38,./../all_10_species/,XC232427 - Buff-throated Woodcreeper - Xiphorhynchus guttatus.mp3,15.735291666666669,0,3.0,3.0,48000,Chrysococcyx cupreus,0.6782923936843872
40,40,./../all_10_species/,XC232427 - Buff-throated Woodcreeper - Xiphorhynchus guttatus.mp3,15.735291666666669,0,9.0,3.0,48000,Xiphorhynchus guttatus,0.7458973526954651
41,41,./../all_10_species/,XC232427 - Buff-throated Woodcreeper - Xiphorhynchus guttatus.mp3,15.735291666666669,0,12.0,3.0,48000,Xiphorhynchus guttatus,0.616017758846283
47,47,./../all_10_species/,XC44418 - Rufous-collared Sparrow - Zonotrichia capensis.mp3,55.7714375,0,15.0,3.0,48000,Contopus fumigatus,0.8053670525550842
50,50,./../all_10_species/,XC44418 - Rufous-collared Sparrow - Zonotrichia capensis.mp3,55.7714375,0,24.0,3.0,48000,Contopus fumigatus,0.9245687127113342
53,53,./../all_10_species/,XC44418 - Rufous-collared Sparrow - Zonotrichia capensis.mp3,55.7714375,0,33.0,3.0,48000,Contopus fumigatus,0.6565209031105042
