itemid,datasetid,hasbird
759808e5-f824-401e-9058,warblrb10k,1
1d94fc4a-1c63-4da0-9cac,warblrb10k,1
bb0099ce-3073-4613-8557,warblrb10k,1
c4c67e81-9aa8-4af4-8eb7,warblrb10k,1
ab322d4b-da69-4b06-a065,warblrb10k,0
519cfbe6-f804-4add-baa3,warblrb10k,0
6332d960-6f57-4ecc-8d1a,warblrb10k,1
db89b696-5ca0-4ca8-982a,warblrb10k,1
a02ac7bc-5a29-40a1-89e1,warblrb10k,1
6ce66c37-3a83-43b1-b0dd,warblrb10k,1
126160c6-cd85-41f7-a5e7,warblrb10k,1
19d149c7-98a8-48d2-921d,warblrb10k,1
4dd5046d-c962-4f02-a820,warblrb10k,1
479b90e3-85bf-403c-8298,warblrb10k,0
3661273c-19b9-4ea0-abc5,warblrb10k,1
5e8976e1-c7bf-45b7-b22b,warblrb10k,1
947e8e78-3f1d-4493-936f,warblrb10k,1
b7a49bf2-f898-41ec-be40,warblrb10k,0
d09bf6fc-6275-47b2-9a3e,warblrb10k,1
960784f4-34aa-4235-9d9c,warblrb10k,1
4c6d2568-17f6-4ca7-b347,warblrb10k,0
1e1ade85-72d2-4c85-b428,warblrb10k,1
efe349dd-319a-42bf-ae04,warblrb10k,1
e30d7c93-f1bc-4ca5-af31,warblrb10k,1
13562d9b-aa0b-42ca-9198,warblrb10k,1
f08f8ca2-59dd-4065-9abb,warblrb10k,1
b2952a5b-6e87-4b3d-b7a8,warblrb10k,1
98fe674f-985a-4434-aa82,warblrb10k,1
56239bc2-5af8-4586-b2c7,warblrb10k,1
bfee5f94-ed1d-48da-9681,warblrb10k,1
0a0b783d-f9a3-4652-a01d,warblrb10k,0
031f0a9b-446c-496f-8997,warblrb10k,1
1e860c93-dd38-4711-88de,warblrb10k,1
026eceb5-3e21-4fdc-b6d3,warblrb10k,1
9fe0ad8e-14bf-45f5-9429,warblrb10k,1
7c503dce-d6ad-4394-97b1,warblrb10k,0
345341a8-7d81-4ccb-ba4a,warblrb10k,1
c56549cc-af7b-4269-8fc5,warblrb10k,0
c95f2ba3-b863-439b-993a,warblrb10k,1
3718760f-e8c5-40c8-87b8,warblrb10k,1
42354fbc-fa9b-430d-b374,warblrb10k,1
d509daa6-afad-4d98-baee,warblrb10k,0
cfcb0d51-e8e9-4882-aa29,warblrb10k,1
2bc65db1-0fb0-4289-b8c1,warblrb10k,1
4aed9671-dc8a-477d-b12b,warblrb10k,1
666998e4-20c1-4765-bb39,warblrb10k,1
40a84a07-2d3b-443a-9643,warblrb10k,1
f78e11ef-ecdd-4941-ba67,warblrb10k,1
759ed722-0f94-493e-b406,warblrb10k,0
96dafde7-d6c6-4ebe-8bf2,warblrb10k,0
41e87fc5-c247-4b02-ae87,warblrb10k,1
afb64a2f-61fa-4325-8975,warblrb10k,0
331c7315-7300-4147-90b3,warblrb10k,1
c2fb90df-e81a-4f2d-95c2,warblrb10k,1
fc3c340e-79a7-42a1-bfdc,warblrb10k,0
37b45b7e-8014-4533-87b7,warblrb10k,1
1ab9d3e5-ff89-4ea7-a455,warblrb10k,1
f5cccdc0-a015-4593-aa4b,warblrb10k,0
7c1d1621-8903-47d0-b535,warblrb10k,1
952f1cba-e7a4-46fc-bfb2,warblrb10k,1
ce96ac2d-889c-409e-aeae,warblrb10k,1
382ce68b-1321-4ad6-8711,warblrb10k,1
be844b62-1698-4fc8-a887,warblrb10k,1
73a68b17-94ec-4e69-9e4b,warblrb10k,1
9a623967-3edc-4120-a558,warblrb10k,1
70cd7cf8-0b60-4d35-8db2,warblrb10k,1
0d8fae0c-e565-4177-adbb,warblrb10k,1
b69dc1e7-a2b4-4e26-b265,warblrb10k,1
1a01ceda-65d3-4c7a-bdf7,warblrb10k,0
ac0c4619-e242-490b-9192,warblrb10k,1
66b780d9-c038-463f-ac30,warblrb10k,1
86f13bcd-76b3-4bfe-8428,warblrb10k,1
0608b14d-544f-479e-81aa,warblrb10k,1
7fa03435-ec2f-4088-bcb4,warblrb10k,1
c1a458a6-c250-4660-91f9,warblrb10k,1
51c93921-470a-4d84-84ff,warblrb10k,1
af72708c-3aaa-4f23-87bf,warblrb10k,1
954f647b-6fde-44ba-bbe7,warblrb10k,0
dffd9912-62f5-4ed8-9955,warblrb10k,1
16f8ca73-5a06-4693-af9d,warblrb10k,1
20eaf521-e88e-4e8f-947b,warblrb10k,1
4eac3cb9-a047-4e83-9ea9,warblrb10k,1
c4e9f72e-f01a-456c-98a7,warblrb10k,1
bc1ea007-5a9c-451a-acd4,warblrb10k,0
910bf18b-8a20-4d67-9adb,warblrb10k,1
8371a72e-2b64-4e64-9227,warblrb10k,0
5b37f0f4-f525-48d1-9c98,warblrb10k,1
3070eeec-386f-42e1-b4bc,warblrb10k,1
ffe84fee-d4e6-4483-9113,warblrb10k,1
6d9d75c8-8035-46d6-8cd7,warblrb10k,1
47240129-5048-4b13-ad12,warblrb10k,1
b30b6751-9b18-4389-9589,warblrb10k,1
b6855df9-f4e4-4b32-8d6b,warblrb10k,1
63fac5d1-dd52-474f-9955,warblrb10k,1
fa568b98-bed3-4c9a-912b,warblrb10k,0
8530cc0a-b6d4-4642-96a9,warblrb10k,1
f0a13d56-b9b9-4e92-9318,warblrb10k,1
fca2231e-a8a4-4905-986f,warblrb10k,0
b48298ec-006c-4006-8f13,warblrb10k,1
47915a93-5d41-4c90-b429,warblrb10k,1
adadff63-c43b-45a0-842d,warblrb10k,1
b71758f2-bb37-4a6b-a669,warblrb10k,1
ed47216b-fbaf-4b95-9707,warblrb10k,1
cd51ef3f-04f2-49dd-8dff,warblrb10k,1
dc2e7698-b094-4a86-92e6,warblrb10k,1
c64e7f01-1129-424b-bf9e,warblrb10k,1
40378a4f-2deb-4fef-83d3,warblrb10k,1
96a302b4-5250-472a-b51b,warblrb10k,0
c5d06087-b500-464f-9bfb,warblrb10k,1
a11a73d0-97e1-4ef3-b54a,warblrb10k,1
9e86cb77-b63b-437a-9a72,warblrb10k,1
22e73d2f-7e99-46bc-a7f6,warblrb10k,1
80d94af4-7519-4a72-ac53,warblrb10k,0
7349a999-f113-420e-87fa,warblrb10k,1
781f857e-381b-427e-b5af,warblrb10k,1
8ef0b045-ee40-40a6-8ffc,warblrb10k,1
790538e0-5af4-4277-82ff,warblrb10k,0
d25bbd96-3354-47c0-9142,warblrb10k,1
30a139b3-f592-4ab5-b6df,warblrb10k,1
04e1b2b1-c7e6-42d8-abb3,warblrb10k,1
fbc35bf6-0798-44d7-ac1a,warblrb10k,0
c4633848-bdd5-4711-a2cb,warblrb10k,1
3a6315ab-14f1-4216-8dff,warblrb10k,1
e9cb5fcc-3113-4fe8-ac05,warblrb10k,1
7926e6af-d1da-4518-b6e3,warblrb10k,0
