IN FILE,MANUAL ID,OFFSET,DURATION,Confidence
20210820_001000_OTH1.csv,Wrentit,36.0,3.0,0.28275335
20210820_001000_OTH1.csv,Pearl Kite,36.0,3.0,0.21841124
20210820_001000_OTH1.csv,Wrentit,39.0,3.0,0.50149137
20210820_001000_OTH1.csv,Reed Parrotbill,39.0,3.0,0.2931925
20210820_001000_OTH1.csv,Wrentit,45.0,3.0,0.56510234
20210820_001000_OTH1.csv,Pearl Kite,45.0,3.0,0.43785793
20210820_001000_OTH1.csv,Wrentit,48.0,3.0,0.13126709
20210820_001000_OTH1.csv,Reed Parrotbill,48.0,3.0,0.11424691
20210820_001000_OTH1.csv,Wrentit,57.0,3.0,0.18429103
20210821_070000_OFF7.csv,Abyssinian Nightjar,12.0,3.0,0.11221626
20210811_173000_OFF7.csv,Watercock,33.0,3.0,0.22003518
20210819_104000_OFF4.csv,Chaco Owl,51.0,3.0,0.1249228
20210816_161000_OFF7.csv,Watercock,9.0,3.0,0.11044336
20210823_041000_OFF1.csv,Arabian Scops-Owl,3.0,3.0,0.16206227
20210823_041000_OFF1.csv,Ground Parrot,3.0,3.0,0.10486069
20210823_041000_OFF1.csv,Philippine Frogmouth,3.0,3.0,0.10396557
20210823_041000_OFF1.csv,Arabian Scops-Owl,6.0,3.0,0.12300675
20210823_041000_OFF1.csv,Arabian Scops-Owl,12.0,3.0,0.13365537
20210823_041000_OFF1.csv,Arabian Scops-Owl,15.0,3.0,0.14169016
20210823_041000_OFF1.csv,Arabian Scops-Owl,21.0,3.0,0.28136653
20210823_041000_OFF1.csv,Arabian Scops-Owl,24.0,3.0,0.109200366
20210823_041000_OFF1.csv,Arabian Scops-Owl,30.0,3.0,0.100456074
20210823_041000_OFF1.csv,Arabian Scops-Owl,33.0,3.0,0.31453174
20210823_041000_OFF1.csv,Arabian Scops-Owl,36.0,3.0,0.14019716
20210823_041000_OFF1.csv,Arabian Scops-Owl,42.0,3.0,0.1288838
20210823_041000_OFF1.csv,Arabian Scops-Owl,48.0,3.0,0.1538711
20210823_041000_OFF1.csv,Arabian Scops-Owl,57.0,3.0,0.15971762
20210813_145000_OFF5.csv,Bewick's Wren,21.0,3.0,0.33702752
20210813_145000_OFF5.csv,Western Yellow Wagtail,24.0,3.0,0.22815861
20210813_145000_OFF5.csv,Bewick's Wren,27.0,3.0,0.6818248
20210813_145000_OFF5.csv,Bewick's Wren,30.0,3.0,0.71178037
20210813_145000_OFF5.csv,Bewick's Wren,36.0,3.0,0.6053622
20210813_145000_OFF5.csv,Bewick's Wren,39.0,3.0,0.63751775
20210813_145000_OFF5.csv,Bewick's Wren,42.0,3.0,0.48393708
20210813_145000_OFF5.csv,Bewick's Wren,48.0,3.0,0.14120814
20210813_145000_OFF5.csv,Bewick's Wren,51.0,3.0,0.26066482
20210821_032000_OFF1.csv,Dwarf Tinamou,0.0,3.0,0.24909642
20210821_032000_OFF1.csv,Dwarf Tinamou,6.0,3.0,0.16891268
20210821_032000_OFF1.csv,Dwarf Tinamou,15.0,3.0,0.19601570000000001
20210821_032000_OFF1.csv,Arabian Scops-Owl,15.0,3.0,0.16609052
20210821_032000_OFF1.csv,Dwarf Tinamou,21.0,3.0,0.1739243
