FOLDER,IN FILE,CHANNEL,OFFSET,DURATION,Fmin,Fmean,Fmax,DATE,TIME,HOUR,DATE-12,TIME-12,HOUR-12,TOP1MATCH*,TOP1DIST,TOP2MATCH,TOP2DIST,TOP3MATCH,TOP3DIST,VOCALIZATIONS,MANUAL ID
,Crypturellus-undulatus-74715.wav,1,40.909,0.805,947,1258,1723,01.01.1970,00:00:00.000,0,31.12.1969,12:00:00.000,12,cluster.000,0.061075,cluster.001,0.561861,cluster.003,0.600496,1,
,Crypturellus-undulatus-74716.wav,1,40.909,0.805,947,1258,1723,01.01.1970,00:00:00.000,0,31.12.1969,12:00:00.000,12,cluster.000,0.061075,cluster.001,0.561861,cluster.003,0.600496,1,
,Crypturellus-undulatus-74715.wav,0,40.904,0.81,861,1256,1723,01.01.1970,00:00:00.000,0,31.12.1969,12:00:00.000,12,cluster.000,0.068792,cluster.001,0.562687,cluster.003,0.603173,1,
,Crypturellus-undulatus-74716.wav,0,40.904,0.81,861,1256,1723,01.01.1970,00:00:00.000,0,31.12.1969,12:00:00.000,12,cluster.000,0.068792,cluster.001,0.562687,cluster.003,0.603173,1,
,Crypturellus-undulatus-74714.wav,1,24.912,0.805,775,1243,1723,01.01.1970,00:00:00.000,0,31.12.1969,12:00:00.000,12,cluster.000,0.071487,cluster.001,0.569336,cluster.003,0.605541,1,
,Crypturellus-undulatus-74714.wav,0,24.912,0.773,775,1241,1723,01.01.1970,00:00:00.000,0,31.12.1969,12:00:00.000,12,cluster.000,0.072682,cluster.001,0.571022,cluster.003,0.605714,1,
,Crypturellus-undulatus-74715.wav,1,16.573,0.757,861,1244,1723,01.01.1970,00:00:00.000,0,31.12.1969,12:00:00.000,12,cluster.000,0.074563,cluster.001,0.57649,cluster.003,0.607145,1,
,Crypturellus-undulatus-74716.wav,1,16.573,0.757,861,1244,1723,01.01.1970,00:00:00.000,0,31.12.1969,12:00:00.000,12,cluster.000,0.074563,cluster.001,0.57649,cluster.003,0.607145,1,
,Liosceles-thoracicus-123258.wav,0,31.109,0.272,938,1269,1875,01.01.1970,00:00:00.000,0,31.12.1969,12:00:00.000,12,cluster.000,0.077204,cluster.001,0.571007,cluster.003,0.596621,1,
,Crypturellus-undulatus-74714.wav,0,1.892,0.73,689,1235,2670,01.01.1970,00:00:00.000,0,31.12.1969,12:00:00.000,12,cluster.000,0.077977,cluster.001,0.579438,cluster.003,0.607062,1,
,Crypturellus-undulatus-74714.wav,1,13.024,0.783,861,1231,1895,01.01.1970,00:00:00.000,0,31.12.1969,12:00:00.000,12,cluster.000,0.078093,cluster.001,0.571934,cluster.003,0.610228,1,
,Liosceles-thoracicus-123257.wav,0,42.192,0.149,938,1268,1875,01.01.1970,00:00:00.000,0,31.12.1969,12:00:00.000,12,cluster.000,0.078126,cluster.001,0.585665,cluster.003,0.599655,1,
,Crypturellus-undulatus-74714.wav,0,38.554,0.757,775,1236,1981,01.01.1970,00:00:00.000,0,31.12.1969,12:00:00.000,12,cluster.000,0.078204,cluster.001,0.571147,cluster.003,0.608942,1,
,Crypturellus-undulatus-74714.wav,0,13.024,0.783,861,1230,1895,01.01.1970,00:00:00.000,0,31.12.1969,12:00:00.000,12,cluster.000,0.078506,cluster.001,0.571551,cluster.003,0.610909,1,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
