,Filename,Selection,View,Channel,Begin Time (s),End Time (s),Low Freq (Hz),High Freq (Hz),Species Code,Common Name,Confidence
1,Lipaugus-vociferans-101,1,Spectrogram 1,1,12.0,15.0,150,12000,blfant1,Black-faced Antthrush,0.3000
2,Lipaugus-vociferans-101,2,Spectrogram 1,1,15.0,18.0,150,12000,scrpih1,Screaming Piha,0.1527
3,Lipaugus-vociferans-101,3,Spectrogram 1,1,21.0,24.0,150,12000,scrpih1,Screaming Piha,0.5965
4,Lipaugus-vociferans-101,4,Spectrogram 1,1,21.0,24.0,150,12000,blfant1,Black-faced Antthrush,0.1684
5,Lipaugus-vociferans-101,5,Spectrogram 1,1,21.0,24.0,150,12000,rucant2,Rufous-capped Antthrush,0.1051
6,Lipaugus-vociferans-101,6,Spectrogram 1,1,24.0,27.0,150,12000,blfant1,Black-faced Antthrush,0.1126
7,Lipaugus-vociferans-101,7,Spectrogram 1,1,24.0,27.0,150,12000,rucant2,Rufous-capped Antthrush,0.1048
8,Lipaugus-vociferans-101,8,Spectrogram 1,1,27.0,30.0,150,12000,rucant2,Rufous-capped Antthrush,0.2223
9,Lipaugus-vociferans-101,9,Spectrogram 1,1,3.0,6.0,150,12000,scrpih1,Screaming Piha,0.9818
10,Lipaugus-vociferans-101,10,Spectrogram 1,1,30.0,33.0,150,12000,blfant1,Black-faced Antthrush,0.2140
11,Lipaugus-vociferans-101,11,Spectrogram 1,1,33.0,36.0,150,12000,scrpih1,Screaming Piha,0.9692
12,Lipaugus-vociferans-101,12,Spectrogram 1,1,6.0,9.0,150,12000,scrpih1,Screaming Piha,0.5652
13,Lipaugus-vociferans-101,13,Spectrogram 1,1,9.0,12.0,150,12000,undtin1,Undulated Tinamou,0.1768
14,Lipaugus-vociferans-101,14,Spectrogram 1,1,9.0,12.0,150,12000,blfant1,Black-faced Antthrush,0.1619
15,Lipaugus-vociferans-102397,1,Spectrogram 1,1,0,3.0,150,12000,scrpih1,Screaming Piha,0.9699
16,Lipaugus-vociferans-102397,2,Spectrogram 1,1,0,3.0,150,12000,frwrks,Fireworks,0.2720
17,Lipaugus-vociferans-102397,3,Spectrogram 1,1,15.0,18.0,150,12000,scrpih1,Screaming Piha,0.7282
18,Lipaugus-vociferans-102397,4,Spectrogram 1,1,18.0,21.0,150,12000,scrpih1,Screaming Piha,0.8576
19,Lipaugus-vociferans-102397,5,Spectrogram 1,1,18.0,21.0,150,12000,cosowl1,Collared Scops-Owl,0.1080
20,Lipaugus-vociferans-102397,6,Spectrogram 1,1,21.0,24.0,150,12000,scrpih1,Screaming Piha,0.9841
21,Lipaugus-vociferans-102397,7,Spectrogram 1,1,24.0,27.0,150,12000,scrpih1,Screaming Piha,0.9717
22,Lipaugus-vociferans-102397,8,Spectrogram 1,1,27.0,30.0,150,12000,scrpih1,Screaming Piha,0.2623
23,Lipaugus-vociferans-102397,9,Spectrogram 1,1,27.0,30.0,150,12000,mocant1,Mouse-colored Antshrike,0.1159
24,Lipaugus-vociferans-102397,10,Spectrogram 1,1,3.0,6.0,150,12000,scbwre1,Scaly-breasted Wren,0.3502
25,Lipaugus-vociferans-102397,11,Spectrogram 1,1,3.0,6.0,150,12000,blcman1,Blue-crowned Manakin,0.1129
26,Lipaugus-vociferans-102397,12,Spectrogram 1,1,33.0,36.0,150,12000,scrpih1,Screaming Piha,0.9574
27,Lipaugus-vociferans-102397,13,Spectrogram 1,1,36.0,39.0,150,12000,scrpih1,Screaming Piha,0.9850
28,Lipaugus-vociferans-102397,14,Spectrogram 1,1,36.0,39.0,150,12000,frwrks,Fireworks,0.1648
29,Lipaugus-vociferans-102397,15,Spectrogram 1,1,36.0,39.0,150,12000,gungun,Gun,0.1235
30,Lipaugus-vociferans-102397,16,Spectrogram 1,1,39.0,42.0,150,12000,scrpih1,Screaming Piha,0.2213
31,Lipaugus-vociferans-102397,17,Spectrogram 1,1,42.0,45.0,150,12000,scbwre1,Scaly-breasted Wren,0.2537
32,Lipaugus-vociferans-102397,18,Spectrogram 1,1,42.0,45.0,150,12000,grejac2,Great Jacamar,0.1803
33,Lipaugus-vociferans-102397,19,Spectrogram 1,1,45.0,48.0,150,12000,scrpih1,Screaming Piha,0.9798
34,Lipaugus-vociferans-102397,20,Spectrogram 1,1,48.0,51.0,150,12000,scrpih1,Screaming Piha,0.2316
35,Lipaugus-vociferans-102397,21,Spectrogram 1,1,51.0,54.0,150,12000,scbwre1,Scaly-breasted Wren,0.1147
36,Lipaugus-vociferans-102397,22,Spectrogram 1,1,57.0,60.0,150,12000,scrpih1,Screaming Piha,0.9842
37,Lipaugus-vociferans-102397,23,Spectrogram 1,1,6.0,9.0,150,12000,scrpih1,Screaming Piha,0.9928
38,Lipaugus-vociferans-102397,24,Spectrogram 1,1,60.0,63.0,150,12000,scrpih1,Screaming Piha,0.4391
39,Lipaugus-vociferans-102397,25,Spectrogram 1,1,63.0,66.0,150,12000,gilbar1,Gilded Barbet,0.8360
40,Lipaugus-vociferans-102397,26,Spectrogram 1,1,66.0,69.0,150,12000,scrpih1,Screaming Piha,0.8939
41,Lipaugus-vociferans-102397,27,Spectrogram 1,1,66.0,69.0,150,12000,gilbar1,Gilded Barbet,0.3083
42,Lipaugus-vociferans-102397,28,Spectrogram 1,1,69.0,72.0,150,12000,scrpih1,Screaming Piha,0.9593
43,Lipaugus-vociferans-102397,29,Spectrogram 1,1,72.0,75.0,150,12000,scrpih1,Screaming Piha,0.9217
44,Lipaugus-vociferans-102397,30,Spectrogram 1,1,75.0,78.0,150,12000,scrpih1,Screaming Piha,0.7848
45,Lipaugus-vociferans-102397,31,Spectrogram 1,1,78.0,81.0,150,12000,scrpih1,Screaming Piha,0.9732
46,Lipaugus-vociferans-102397,32,Spectrogram 1,1,9.0,12.0,150,12000,scrpih1,Screaming Piha,0.8656
47,Lipaugus-vociferans-102838,1,Spectrogram 1,1,0,3.0,150,12000,scrpih1,Screaming Piha,0.9984
48,Lipaugus-vociferans-102838,2,Spectrogram 1,1,12.0,15.0,150,12000,scrpih1,Screaming Piha,0.9258
49,Lipaugus-vociferans-102838,3,Spectrogram 1,1,15.0,18.0,150,12000,scrpih1,Screaming Piha,0.9524
