,Filename,Selection,View,Channel,Begin Time (s),End Time (s),Low Freq (Hz),High Freq (Hz),Species Code,Common Name,Confidence
4704,Lipaugus-vociferans-73778,1,Spectrogram 1,1,12.0,15.0,150,12000,scrpih1,Screaming Piha,1.0000
3030,Lipaugus-vociferans-443978,38,Spectrogram 1,1,192.0,195.0,150,12000,scrpih1,Screaming Piha,1.0000
2947,Lipaugus-vociferans-442394,8,Spectrogram 1,1,117.0,120.0,150,12000,scrpih1,Screaming Piha,1.0000
3012,Lipaugus-vociferans-443978,20,Spectrogram 1,1,147.0,150.0,150,12000,scrpih1,Screaming Piha,0.9999
4281,Lipaugus-vociferans-542536,3,Spectrogram 1,1,24.0,27.0,150,12000,scrpih1,Screaming Piha,0.9999
1460,Lipaugus-vociferans-271894,2,Spectrogram 1,1,3.0,6.0,150,12000,scrpih1,Screaming Piha,0.9999
237,Lipaugus-vociferans-123333,5,Spectrogram 1,1,15.0,18.0,150,12000,scrpih1,Screaming Piha,0.9999
2964,Lipaugus-vociferans-442394,25,Spectrogram 1,1,21.0,24.0,150,12000,scrpih1,Screaming Piha,0.9999
3023,Lipaugus-vociferans-443978,31,Spectrogram 1,1,174.0,177.0,150,12000,scrpih1,Screaming Piha,0.9999
3022,Lipaugus-vociferans-443978,30,Spectrogram 1,1,171.0,174.0,150,12000,scrpih1,Screaming Piha,0.9999
2810,Lipaugus-vociferans-436779,45,Spectrogram 1,1,78.0,81.0,150,12000,scrpih1,Screaming Piha,0.9999
2427,Lipaugus-vociferans-421081,1,Spectrogram 1,1,0,3.0,150,12000,scrpih1,Screaming Piha,0.9999
764,Lipaugus-vociferans-200334,4,Spectrogram 1,1,18.0,21.0,150,12000,scrpih1,Screaming Piha,0.9999
3951,Lipaugus-vociferans-520937,18,Spectrogram 1,1,36.0,39.0,150,12000,scrpih1,Screaming Piha,0.9999
3043,Lipaugus-vociferans-443978,51,Spectrogram 1,1,222.0,225.0,150,12000,scrpih1,Screaming Piha,0.9999
3718,Lipaugus-vociferans-519394,29,Spectrogram 1,1,9.0,12.0,150,12000,scrpih1,Screaming Piha,0.9999
3005,Lipaugus-vociferans-443978,13,Spectrogram 1,1,129.0,132.0,150,12000,scrpih1,Screaming Piha,0.9999
2999,Lipaugus-vociferans-443978,7,Spectrogram 1,1,114.0,117.0,150,12000,scrpih1,Screaming Piha,0.9999
2794,Lipaugus-vociferans-436779,29,Spectrogram 1,1,45.0,48.0,150,12000,scrpih1,Screaming Piha,0.9999
754,Lipaugus-vociferans-200333,10,Spectrogram 1,1,33.0,36.0,150,12000,scrpih1,Screaming Piha,0.9998
3041,Lipaugus-vociferans-443978,49,Spectrogram 1,1,216.0,219.0,150,12000,scrpih1,Screaming Piha,0.9998
4812,Lipaugus-vociferans-76028,25,Spectrogram 1,1,6.0,9.0,150,12000,scrpih1,Screaming Piha,0.9998
2378,Lipaugus-vociferans-40356,6,Spectrogram 1,1,9.0,12.0,150,12000,scrpih1,Screaming Piha,0.9998
3000,Lipaugus-vociferans-443978,8,Spectrogram 1,1,117.0,120.0,150,12000,scrpih1,Screaming Piha,0.9998
2971,Lipaugus-vociferans-442394,32,Spectrogram 1,1,39.0,42.0,150,12000,scrpih1,Screaming Piha,0.9998
3028,Lipaugus-vociferans-443978,36,Spectrogram 1,1,186.0,189.0,150,12000,scrpih1,Screaming Piha,0.9998
1459,Lipaugus-vociferans-271894,1,Spectrogram 1,1,0,3.0,150,12000,scrpih1,Screaming Piha,0.9998
4975,Lipaugus-vociferans-83477,14,Spectrogram 1,1,51.0,54.0,150,12000,scrpih1,Screaming Piha,0.9998
4925,Lipaugus-vociferans-81845,34,Spectrogram 1,1,9.0,12.0,150,12000,scrpih1,Screaming Piha,0.9998
793,Lipaugus-vociferans-200335,8,Spectrogram 1,1,3.0,6.0,150,12000,scrpih1,Screaming Piha,0.9998
1394,Lipaugus-vociferans-259073,9,Spectrogram 1,1,3.0,6.0,150,12000,scrpih1,Screaming Piha,0.9998
3967,Lipaugus-vociferans-520937,34,Spectrogram 1,1,81.0,84.0,150,12000,scrpih1,Screaming Piha,0.9998
749,Lipaugus-vociferans-200333,5,Spectrogram 1,1,21.0,24.0,150,12000,scrpih1,Screaming Piha,0.9998
4370,Lipaugus-vociferans-56138,8,Spectrogram 1,1,30.0,33.0,150,12000,scrpih1,Screaming Piha,0.9998
3076,Lipaugus-vociferans-443978,84,Spectrogram 1,1,93.0,96.0,150,12000,scrpih1,Screaming Piha,0.9998
2989,Lipaugus-vociferans-442394,50,Spectrogram 1,1,9.0,12.0,150,12000,scrpih1,Screaming Piha,0.9998
2974,Lipaugus-vociferans-442394,35,Spectrogram 1,1,48.0,51.0,150,12000,scrpih1,Screaming Piha,0.9998
2893,Lipaugus-vociferans-442393,26,Spectrogram 1,1,159.0,162.0,150,12000,scrpih1,Screaming Piha,0.9998
3955,Lipaugus-vociferans-520937,22,Spectrogram 1,1,48.0,51.0,150,12000,scrpih1,Screaming Piha,0.9998
3032,Lipaugus-vociferans-443978,40,Spectrogram 1,1,198.0,201.0,150,12000,scrpih1,Screaming Piha,0.9997
