Start (s),End (s),Scientific name,Common name,Confidence
0,3.0,Megascops asio,Eastern Screech-Owl,0.4332
6.0,9.0,Campephilus melanoleucos,Crimson-crested Woodpecker,0.9329
9.0,12.0,Campephilus melanoleucos,Crimson-crested Woodpecker,0.9222
12.0,15.0,Campephilus melanoleucos,Crimson-crested Woodpecker,0.9968
15.0,18.0,Campephilus melanoleucos,Crimson-crested Woodpecker,0.9981
18.0,21.0,Campephilus melanoleucos,Crimson-crested Woodpecker,0.9942
21.0,24.0,Campephilus melanoleucos,Crimson-crested Woodpecker,0.9891
24.0,27.0,Campephilus melanoleucos,Crimson-crested Woodpecker,0.9927
27.0,30.0,Campephilus melanoleucos,Crimson-crested Woodpecker,0.9789
30.0,33.0,Campephilus melanoleucos,Crimson-crested Woodpecker,0.9703
33.0,36.0,Campephilus melanoleucos,Crimson-crested Woodpecker,0.8975
36.0,39.0,Campephilus melanoleucos,Crimson-crested Woodpecker,0.9172
39.0,42.0,Campephilus melanoleucos,Crimson-crested Woodpecker,0.9984
42.0,45.0,Campephilus melanoleucos,Crimson-crested Woodpecker,0.9984
45.0,48.0,Campephilus melanoleucos,Crimson-crested Woodpecker,0.9999
48.0,51.0,Campephilus melanoleucos,Crimson-crested Woodpecker,0.9844
51.0,54.0,Campephilus melanoleucos,Crimson-crested Woodpecker,0.9995
54.0,57.0,Campephilus melanoleucos,Crimson-crested Woodpecker,0.9994
57.0,60.0,Campephilus melanoleucos,Crimson-crested Woodpecker,0.9941
60.0,63.0,Campephilus melanoleucos,Crimson-crested Woodpecker,0.9941
