Start (s),End (s),Scientific name,Common name,Confidence
0,3.0,Myiarchus crinitus,Great Crested Flycatcher,0.1582
0,3.0,Cinnyris jugularis,Olive-backed Sunbird,0.1197
3.0,6.0,Cinnyris jugularis,Olive-backed Sunbird,0.5176
6.0,9.0,Tyrannus crassirostris,Thick-billed Kingbird,0.4277
9.0,12.0,Patagioenas plumbea,Plumbeous Pigeon,0.3139
24.0,27.0,Zimmerius chrysops,Golden-faced Tyrannulet,0.9272
24.0,27.0,Patagioenas plumbea,Plumbeous Pigeon,0.3411
27.0,30.0,Cinnyris jugularis,Olive-backed Sunbird,0.2450
30.0,33.0,Cinnyris jugularis,Olive-backed Sunbird,0.3482
30.0,33.0,Hedydipna collaris,Collared Sunbird,0.1699
33.0,36.0,Patagioenas plumbea,Plumbeous Pigeon,0.7816
42.0,45.0,Ninox boobook,Southern Boobook,0.3011
54.0,57.0,Patagioenas plumbea,Plumbeous Pigeon,0.1190
