Start (s),End (s),Scientific name,Common name,Confidence
0,3.0,Coccyzus erythropthalmus,Black-billed Cuckoo,0.9985
3.0,6.0,Coccyzus erythropthalmus,Black-billed Cuckoo,0.9999
6.0,9.0,Coccyzus erythropthalmus,Black-billed Cuckoo,0.9997
9.0,12.0,Coccyzus erythropthalmus,Black-billed Cuckoo,0.9998
12.0,15.0,Coccyzus erythropthalmus,Black-billed Cuckoo,0.9999
15.0,18.0,Coccyzus erythropthalmus,Black-billed Cuckoo,1.0000
18.0,21.0,Coccyzus erythropthalmus,Black-billed Cuckoo,0.9998
21.0,24.0,Coccyzus erythropthalmus,Black-billed Cuckoo,0.9998
24.0,27.0,Coccyzus erythropthalmus,Black-billed Cuckoo,0.9999
27.0,30.0,Coccyzus erythropthalmus,Black-billed Cuckoo,0.9998
30.0,33.0,Coccyzus erythropthalmus,Black-billed Cuckoo,0.9999
33.0,36.0,Coccyzus erythropthalmus,Black-billed Cuckoo,0.9999
36.0,39.0,Coccyzus erythropthalmus,Black-billed Cuckoo,0.9999
39.0,42.0,Coccyzus erythropthalmus,Black-billed Cuckoo,1.0000
42.0,45.0,Coccyzus erythropthalmus,Black-billed Cuckoo,0.9999
45.0,48.0,Coccyzus erythropthalmus,Black-billed Cuckoo,0.9999
48.0,51.0,Coccyzus erythropthalmus,Black-billed Cuckoo,0.9999
51.0,54.0,Coccyzus erythropthalmus,Black-billed Cuckoo,1.0000
54.0,57.0,Coccyzus erythropthalmus,Black-billed Cuckoo,0.9998
57.0,60.0,Coccyzus erythropthalmus,Black-billed Cuckoo,0.9996
60.0,63.0,Coccyzus erythropthalmus,Black-billed Cuckoo,0.9998
63.0,66.0,Coccyzus erythropthalmus,Black-billed Cuckoo,0.9970
66.0,69.0,Coccyzus erythropthalmus,Black-billed Cuckoo,0.9997
69.0,72.0,Coccyzus erythropthalmus,Black-billed Cuckoo,1.0000
72.0,75.0,Coccyzus erythropthalmus,Black-billed Cuckoo,1.0000
75.0,78.0,Coccyzus erythropthalmus,Black-billed Cuckoo,0.9999
78.0,81.0,Coccyzus erythropthalmus,Black-billed Cuckoo,1.0000
81.0,84.0,Coccyzus erythropthalmus,Black-billed Cuckoo,0.9998
84.0,87.0,Coccyzus erythropthalmus,Black-billed Cuckoo,1.0000
87.0,90.0,Coccyzus erythropthalmus,Black-billed Cuckoo,1.0000
90.0,93.0,Limnothlypis swainsonii,Swainson's Warbler,0.3607
90.0,93.0,Setophaga citrina,Hooded Warbler,0.2673
90.0,93.0,Geothlypis formosa,Kentucky Warbler,0.1969
90.0,93.0,Protonotaria citrea,Prothonotary Warbler,0.1735
90.0,93.0,Setophaga dominica,Yellow-throated Warbler,0.1072
