Start (s),End (s),Scientific name,Common name,Confidence
0,3.0,Elaenia albiceps,White-crested Elaenia,0.7321
3.0,6.0,Elaenia albiceps,White-crested Elaenia,0.9580
6.0,9.0,Elaenia albiceps,White-crested Elaenia,0.7729
9.0,12.0,Diglossa humeralis,Black Flowerpiercer,0.3939
9.0,12.0,Elaenia albiceps,White-crested Elaenia,0.2869
9.0,12.0,Zonotrichia capensis,Rufous-collared Sparrow,0.1321
9.0,12.0,Spinus magellanicus,Hooded Siskin,0.1138
12.0,15.0,Elaenia albiceps,White-crested Elaenia,0.9155
15.0,18.0,Elaenia albiceps,White-crested Elaenia,0.9802
18.0,21.0,Elaenia albiceps,White-crested Elaenia,0.9922
21.0,24.0,Diglossa humeralis,Black Flowerpiercer,0.4517
21.0,24.0,Zonotrichia capensis,Rufous-collared Sparrow,0.1559
21.0,24.0,Arremon assimilis,Gray-browed Brushfinch,0.1363
24.0,27.0,Elaenia albiceps,White-crested Elaenia,0.3483
27.0,30.0,Elaenia albiceps,White-crested Elaenia,0.9986
30.0,33.0,Diglossa humeralis,Black Flowerpiercer,0.1444
