Start (s),End (s),Scientific name,Common name,Confidence
0,3.0,Eupetomena macroura,Swallow-tailed Hummingbird,0.8175
0,3.0,Seiurus aurocapilla,Ovenbird,0.6444
3.0,6.0,Eupetomena macroura,Swallow-tailed Hummingbird,0.9824
3.0,6.0,Seiurus aurocapilla,Ovenbird,0.2215
6.0,9.0,Eupetomena macroura,Swallow-tailed Hummingbird,0.8826
6.0,9.0,Seiurus aurocapilla,Ovenbird,0.7424
6.0,9.0,Phrygilus gayi,Gray-hooded Sierra Finch,0.1285
6.0,9.0,Setophaga caerulescens,Black-throated Blue Warbler,0.1249
9.0,12.0,Eupetomena macroura,Swallow-tailed Hummingbird,0.9399
9.0,12.0,Seiurus aurocapilla,Ovenbird,0.4102
12.0,15.0,Eupetomena macroura,Swallow-tailed Hummingbird,0.9555
12.0,15.0,Seiurus aurocapilla,Ovenbird,0.2796
