Start (s),End (s),Scientific name,Common name,Confidence
0,3.0,Myrmophylax atrothorax,Black-throated Antbird,0.5376
3.0,6.0,Myrmophylax atrothorax,Black-throated Antbird,0.4329
3.0,6.0,Myiopagis caniceps,Gray Elaenia,0.2092
9.0,12.0,Myiopagis caniceps,Gray Elaenia,0.2909
12.0,15.0,Myrmophylax atrothorax,Black-throated Antbird,0.5273
15.0,18.0,Myrmophylax atrothorax,Black-throated Antbird,0.9091
18.0,21.0,Microrhopias quixensis,Dot-winged Antwren,0.4049
18.0,21.0,Myrmophylax atrothorax,Black-throated Antbird,0.1590
21.0,24.0,Myrmophylax atrothorax,Black-throated Antbird,0.1182
24.0,27.0,Tolmomyias poliocephalus,Gray-crowned Flycatcher,0.4515
24.0,27.0,Lathrotriccus euleri,Euler's Flycatcher,0.1266
27.0,30.0,Myrmophylax atrothorax,Black-throated Antbird,0.8591
30.0,33.0,Myiopagis caniceps,Gray Elaenia,0.5611
33.0,36.0,Manacus manacus,White-bearded Manakin,0.1748
36.0,39.0,Myrmophylax atrothorax,Black-throated Antbird,0.8162
45.0,48.0,Myrmophylax atrothorax,Black-throated Antbird,0.6372
45.0,48.0,Microrhopias quixensis,Dot-winged Antwren,0.1206
48.0,51.0,Microrhopias quixensis,Dot-winged Antwren,0.1898
48.0,51.0,Myrmophylax atrothorax,Black-throated Antbird,0.1212
