Start (s),End (s),Scientific name,Common name,Confidence
0,3.0,Leptotila rufaxilla,Gray-fronted Dove,0.9973
3.0,6.0,Sclateria naevia,Silvered Antbird,0.1030
6.0,9.0,Leptotila rufaxilla,Gray-fronted Dove,0.9949
9.0,12.0,Leptotila rufaxilla,Gray-fronted Dove,0.9936
12.0,15.0,Leptotila rufaxilla,Gray-fronted Dove,0.9471
15.0,18.0,Leptotila rufaxilla,Gray-fronted Dove,0.9978
21.0,24.0,Leptotila rufaxilla,Gray-fronted Dove,0.9795
24.0,27.0,Leptotila rufaxilla,Gray-fronted Dove,0.9912
27.0,30.0,Leptotila rufaxilla,Gray-fronted Dove,0.9680
30.0,33.0,Leptotila rufaxilla,Gray-fronted Dove,0.9988
36.0,39.0,Leptotila rufaxilla,Gray-fronted Dove,0.9948
39.0,42.0,Dryobates fumigatus,Smoky-brown Woodpecker,0.1322
42.0,45.0,Leptotila rufaxilla,Gray-fronted Dove,0.9987
45.0,48.0,Leptotila rufaxilla,Gray-fronted Dove,0.9946
