Start (s),End (s),Scientific name,Common name,Confidence
0,3.0,Henicorhina leucosticta,White-breasted Wood-Wren,0.4374
0,3.0,Euphonia chlorotica,Purple-throated Euphonia,0.1221
3.0,6.0,Henicorhina leucosticta,White-breasted Wood-Wren,0.3175
3.0,6.0,Icterus cayanensis,Epaulet Oriole,0.1368
3.0,6.0,Chlorophonia elegantissima,Elegant Euphonia,0.1150
6.0,9.0,Henicorhina leucosticta,White-breasted Wood-Wren,0.2312
6.0,9.0,Icterus cayanensis,Epaulet Oriole,0.1285
9.0,12.0,Galbula cyanescens,Bluish-fronted Jacamar,0.4723
9.0,12.0,Galbula ruficauda,Rufous-tailed Jacamar,0.1885
9.0,12.0,Herpsilochmus rufimarginatus,Rufous-margined Antwren,0.1621
9.0,12.0,Platyrinchus coronatus,Golden-crowned Spadebill,0.1490
9.0,12.0,Crypturellus undulatus,Undulated Tinamou,0.1066
12.0,15.0,Henicorhina leucosticta,White-breasted Wood-Wren,0.9242
12.0,15.0,Myiothlypis coronata,Russet-crowned Warbler,0.1679
15.0,18.0,Pionites melanocephalus,Black-headed Parrot,0.4493
15.0,18.0,Henicorhina leucosticta,White-breasted Wood-Wren,0.2305
15.0,18.0,Icterus cayanensis,Epaulet Oriole,0.1888
18.0,21.0,Euphonia chlorotica,Purple-throated Euphonia,0.1267
21.0,24.0,Sporophila angolensis,Chestnut-bellied Seed-Finch,0.2220
21.0,24.0,Icterus cayanensis,Epaulet Oriole,0.1753
24.0,27.0,Hypoedaleus guttatus,Spot-backed Antshrike,0.3096
27.0,30.0,Laterallus exilis,Gray-breasted Crake,0.4160
27.0,30.0,Icterus cayanensis,Epaulet Oriole,0.4026
27.0,30.0,Ammodramus humeralis,Grassland Sparrow,0.3176
30.0,33.0,Euphonia chlorotica,Purple-throated Euphonia,0.2834
30.0,33.0,Molothrus oryzivorus,Giant Cowbird,0.2350
30.0,33.0,Ammodramus humeralis,Grassland Sparrow,0.1528
30.0,33.0,Sciaphylax hemimelaena,Chestnut-tailed Antbird,0.1427
