Start (s),End (s),Scientific name,Common name,Confidence
0,3.0,Euphonia xanthogaster,Orange-bellied Euphonia,0.1089
6.0,9.0,Notharchus tectus,Pied Puffbird,0.9938
9.0,12.0,Myiothlypis fulvicauda,Buff-rumped Warbler,0.3777
12.0,15.0,Myiornis ecaudatus,Short-tailed Pygmy-Tyrant,0.5079
15.0,18.0,Notharchus tectus,Pied Puffbird,0.1700
18.0,21.0,Notharchus tectus,Pied Puffbird,0.9496
18.0,21.0,Pachyramphus cinnamomeus,Cinnamon Becard,0.3266
24.0,27.0,Myiornis ecaudatus,Short-tailed Pygmy-Tyrant,0.5703
27.0,30.0,Notharchus tectus,Pied Puffbird,0.2661
30.0,33.0,Notharchus tectus,Pied Puffbird,0.9899
30.0,33.0,Pachyramphus cinnamomeus,Cinnamon Becard,0.1052
