Start (s),End (s),Scientific name,Common name,Confidence
0,3.0,Piranga olivacea,Scarlet Tanager,0.9986
3.0,6.0,Piranga olivacea,Scarlet Tanager,0.9938
6.0,9.0,Setophaga virens,Black-throated Green Warbler,0.3530
9.0,12.0,Piranga olivacea,Scarlet Tanager,0.9558
9.0,12.0,Turdus falcklandii,Austral Thrush,0.1638
12.0,15.0,Piranga olivacea,Scarlet Tanager,0.9975
21.0,24.0,Piranga olivacea,Scarlet Tanager,0.9986
24.0,27.0,Piranga olivacea,Scarlet Tanager,0.1288
24.0,27.0,Catharus minimus,Gray-cheeked Thrush,0.1067
30.0,33.0,Piranga olivacea,Scarlet Tanager,0.9997
33.0,36.0,Piranga olivacea,Scarlet Tanager,0.9897
39.0,42.0,Piranga olivacea,Scarlet Tanager,0.9965
42.0,45.0,Piranga olivacea,Scarlet Tanager,0.9916
42.0,45.0,Piranga rubra,Summer Tanager,0.4548
