Start (s),End (s),Scientific name,Common name,Confidence
0,3.0,Psarocolius angustifrons,Russet-backed Oropendola,0.2443
3.0,6.0,Myioborus melanocephalus,Spectacled Redstart,0.1068
9.0,12.0,Atlapetes latinuchus,Yellow-breasted Brushfinch,0.4418
9.0,12.0,Atlapetes tricolor,Tricolored Brushfinch,0.2859
9.0,12.0,Atlapetes schistaceus,Slaty Brushfinch,0.1547
12.0,15.0,Psarocolius angustifrons,Russet-backed Oropendola,0.4075
15.0,18.0,Myioborus melanocephalus,Spectacled Redstart,0.7115
18.0,21.0,Coccyzus erythropthalmus,Black-billed Cuckoo,0.2952
18.0,21.0,Myioborus melanocephalus,Spectacled Redstart,0.1293
18.0,21.0,Vermivora chrysoptera,Golden-winged Warbler,0.1230
21.0,24.0,Coccyzus erythropthalmus,Black-billed Cuckoo,0.5391
21.0,24.0,Ixobrychus exilis,Least Bittern,0.1144
24.0,27.0,Psarocolius angustifrons,Russet-backed Oropendola,0.3644
30.0,33.0,Myioborus melanocephalus,Spectacled Redstart,0.2432
30.0,33.0,Myiothlypis coronata,Russet-crowned Warbler,0.1655
30.0,33.0,Vireo leucophrys,Brown-capped Vireo,0.1046
36.0,39.0,Ixobrychus exilis,Least Bittern,0.9411
39.0,42.0,Psarocolius angustifrons,Russet-backed Oropendola,0.5484
42.0,45.0,Penelope montagnii,Andean Guan,0.1085
42.0,45.0,Phylloscopus coronatus,Eastern Crowned Warbler,0.1068
45.0,48.0,Myiothlypis coronata,Russet-crowned Warbler,0.3772
48.0,51.0,Psarocolius angustifrons,Russet-backed Oropendola,0.2035
