Start (s),End (s),Scientific name,Common name,Confidence
0,3.0,Melozone crissalis,California Towhee,0.1218
3.0,6.0,Melozone crissalis,California Towhee,0.5735
6.0,9.0,Melozone crissalis,California Towhee,0.8815
12.0,15.0,Melozone crissalis,California Towhee,0.2820
15.0,18.0,Melozone crissalis,California Towhee,0.2630
21.0,24.0,Melozone crissalis,California Towhee,0.9841
30.0,33.0,Melozone crissalis,California Towhee,0.8619
33.0,36.0,Melozone crissalis,California Towhee,0.4214
33.0,36.0,Phacellodomus rufifrons,Rufous-fronted Thornbird,0.1984
36.0,39.0,Melozone crissalis,California Towhee,0.1033
39.0,42.0,Melozone crissalis,California Towhee,0.2118
45.0,48.0,Melozone crissalis,California Towhee,0.4994
48.0,51.0,Melozone crissalis,California Towhee,0.7343
51.0,54.0,Melozone crissalis,California Towhee,0.5693
51.0,54.0,Tangara chilensis,Paradise Tanager,0.1390
