Start (s),End (s),Scientific name,Common name,Confidence
0,3.0,Sclateria naevia,Silvered Antbird,1.0000
3.0,6.0,Sclateria naevia,Silvered Antbird,0.9995
6.0,9.0,Sclateria naevia,Silvered Antbird,0.9826
15.0,18.0,Sclateria naevia,Silvered Antbird,1.0000
18.0,21.0,Sclateria naevia,Silvered Antbird,0.9996
21.0,24.0,Sclateria naevia,Silvered Antbird,1.0000
24.0,27.0,Sclateria naevia,Silvered Antbird,0.9998
27.0,30.0,Sclateria naevia,Silvered Antbird,1.0000
30.0,33.0,Sclateria naevia,Silvered Antbird,0.9996
33.0,36.0,Sclateria naevia,Silvered Antbird,0.9999
36.0,39.0,Sclateria naevia,Silvered Antbird,1.0000
39.0,42.0,Sclateria naevia,Silvered Antbird,0.9999
42.0,45.0,Sclateria naevia,Silvered Antbird,0.9921
48.0,51.0,Protonotaria citrea,Prothonotary Warbler,0.1139
51.0,54.0,Sclateria naevia,Silvered Antbird,1.0000
54.0,57.0,Sclateria naevia,Silvered Antbird,1.0000
