Start (s),End (s),Scientific name,Common name,Confidence
0,3.0,Dryobates passerinus,Little Woodpecker,0.6024
3.0,6.0,Dryobates passerinus,Little Woodpecker,0.9997
6.0,9.0,Turdus eunomus,Dusky Thrush,0.1326
9.0,12.0,Dryobates passerinus,Little Woodpecker,0.8982
12.0,15.0,Dryobates passerinus,Little Woodpecker,0.9976
15.0,18.0,Dryobates passerinus,Little Woodpecker,0.9954
18.0,21.0,Dryobates passerinus,Little Woodpecker,0.9291
21.0,24.0,Dryobates passerinus,Little Woodpecker,0.9989
24.0,27.0,Dryobates passerinus,Little Woodpecker,0.9975
27.0,30.0,Dryobates passerinus,Little Woodpecker,1.0000
30.0,33.0,Dryobates passerinus,Little Woodpecker,1.0000
30.0,33.0,Chloropicus fuscescens,Cardinal Woodpecker,0.5755
33.0,36.0,Dryobates passerinus,Little Woodpecker,0.9992
36.0,39.0,Dryobates passerinus,Little Woodpecker,0.9989
36.0,39.0,Indicator minor,Lesser Honeyguide,0.2761
36.0,39.0,Dryobates affinis,Red-stained Woodpecker,0.1234
39.0,42.0,Dryobates passerinus,Little Woodpecker,0.9659
42.0,45.0,Dryobates passerinus,Little Woodpecker,0.9993
45.0,48.0,Dryobates passerinus,Little Woodpecker,0.9991
48.0,51.0,Dryobates passerinus,Little Woodpecker,0.9877
51.0,54.0,Dryobates passerinus,Little Woodpecker,0.9998
54.0,57.0,Dryobates passerinus,Little Woodpecker,0.9999
57.0,60.0,Dryobates passerinus,Little Woodpecker,0.9981
60.0,63.0,Dryobates passerinus,Little Woodpecker,0.9977
63.0,66.0,Dryobates passerinus,Little Woodpecker,0.9986
66.0,69.0,Dryobates passerinus,Little Woodpecker,0.9903
69.0,72.0,Dryobates passerinus,Little Woodpecker,0.9993
75.0,78.0,Anthus spragueii,Sprague's Pipit,0.1786
78.0,81.0,Elaenia chiriquensis,Lesser Elaenia,0.1107
84.0,87.0,Phyllomyias fasciatus,Planalto Tyrannulet,0.1527
84.0,87.0,Schoeniophylax phryganophilus,Chotoy Spinetail,0.1423
84.0,87.0,Anthus spragueii,Sprague's Pipit,0.1301
87.0,90.0,Pseudopipra pipra,White-crowned Manakin,0.1354
96.0,99.0,Phyllomyias fasciatus,Planalto Tyrannulet,0.1481
