Start (s),End (s),Scientific name,Common name,Confidence
0,3.0,Vireo leucophrys,Brown-capped Vireo,0.9896
3.0,6.0,Drymophila ferruginea,Ferruginous Antbird,0.1449
6.0,9.0,Vireo leucophrys,Brown-capped Vireo,0.8517
9.0,12.0,Vireo leucophrys,Brown-capped Vireo,0.9953
12.0,15.0,Cacicus uropygialis,Scarlet-rumped Cacique,0.1292
12.0,15.0,Contopus cinereus,Tropical Pewee,0.1234
15.0,18.0,Vireo leucophrys,Brown-capped Vireo,0.9701
18.0,21.0,Syndactyla rufosuperciliata,Buff-browed Foliage-gleaner,0.1582
18.0,21.0,Mecocerculus stictopterus,White-banded Tyrannulet,0.1453
18.0,21.0,Syndactyla subalaris,Lineated Foliage-gleaner,0.1173
