FOLDER,IN FILE,CLIP LENGTH,CHANNEL,OFFSET,DURATION,SAMPLE RATE,MANUAL ID,CONFIDENCE
../passive-acoustic-biodiversity/BirdnetEmbeddings/data/,Aburria-aburri-257423.wav,53.62390022675737,1,3.0,3.0,48000,Wattled Guan,0.9997
../passive-acoustic-biodiversity/BirdnetEmbeddings/data/,Aburria-aburri-257423.wav,53.62390022675737,1,6.0,3.0,48000,Wattled Guan,0.555
../passive-acoustic-biodiversity/BirdnetEmbeddings/data/,Aburria-aburri-257423.wav,53.62390022675737,1,6.0,3.0,48000,Ornate Flycatcher,0.1009
../passive-acoustic-biodiversity/BirdnetEmbeddings/data/,Aburria-aburri-257423.wav,53.62390022675737,1,9.0,3.0,48000,Golden-crowned Flycatcher,0.86
../passive-acoustic-biodiversity/BirdnetEmbeddings/data/,Aburria-aburri-257423.wav,53.62390022675737,1,12.0,3.0,48000,Golden-crowned Flycatcher,0.8412
../passive-acoustic-biodiversity/BirdnetEmbeddings/data/,Aburria-aburri-257423.wav,53.62390022675737,1,15.0,3.0,48000,Golden-crowned Flycatcher,0.352
../passive-acoustic-biodiversity/BirdnetEmbeddings/data/,Aburria-aburri-257423.wav,53.62390022675737,1,18.0,3.0,48000,Wattled Guan,1.0
../passive-acoustic-biodiversity/BirdnetEmbeddings/data/,Aburria-aburri-257423.wav,53.62390022675737,1,21.0,3.0,48000,Wattled Guan,0.9999
../passive-acoustic-biodiversity/BirdnetEmbeddings/data/,Aburria-aburri-387212.wav,183.90208616780046,1,0.0,3.0,48000,Wattled Guan,1.0
../passive-acoustic-biodiversity/BirdnetEmbeddings/data/,Aburria-aburri-387212.wav,183.90208616780046,1,3.0,3.0,48000,Wattled Guan,0.715
../passive-acoustic-biodiversity/BirdnetEmbeddings/data/,Aburria-aburri-387212.wav,183.90208616780046,1,3.0,3.0,48000,Common Crane,0.2675
../passive-acoustic-biodiversity/BirdnetEmbeddings/data/,Aburria-aburri-387212.wav,183.90208616780046,1,15.0,3.0,48000,Rufous-bellied Euphonia,0.7531
../passive-acoustic-biodiversity/BirdnetEmbeddings/data/,Aburria-aburri-387212.wav,183.90208616780046,1,24.0,3.0,48000,Ornate Flycatcher,0.1904
../passive-acoustic-biodiversity/BirdnetEmbeddings/data/,Aburria-aburri-387212.wav,183.90208616780046,1,30.0,3.0,48000,Wattled Guan,0.9971
../passive-acoustic-biodiversity/BirdnetEmbeddings/data/,Aburria-aburri-387212.wav,183.90208616780046,1,33.0,3.0,48000,Toucan Barbet,0.1043
../passive-acoustic-biodiversity/BirdnetEmbeddings/data/,Aburria-aburri-387212.wav,183.90208616780046,1,36.0,3.0,48000,Toucan Barbet,0.8666
../passive-acoustic-biodiversity/BirdnetEmbeddings/data/,Aburria-aburri-387212.wav,183.90208616780046,1,36.0,3.0,48000,Morepork,0.4544
../passive-acoustic-biodiversity/BirdnetEmbeddings/data/,Aburria-aburri-387212.wav,183.90208616780046,1,39.0,3.0,48000,Ruddy Pigeon,0.5368
../passive-acoustic-biodiversity/BirdnetEmbeddings/data/,Aburria-aburri-387212.wav,183.90208616780046,1,45.0,3.0,48000,Crested Oropendola,0.359
../passive-acoustic-biodiversity/BirdnetEmbeddings/data/,Aburria-aburri-387212.wav,183.90208616780046,1,66.0,3.0,48000,Crimson-crested Woodpecker,0.1528
../passive-acoustic-biodiversity/BirdnetEmbeddings/data/,Aburria-aburri-387212.wav,183.90208616780046,1,72.0,3.0,48000,Sunbittern,0.5231
../passive-acoustic-biodiversity/BirdnetEmbeddings/data/,Aburria-aburri-387212.wav,183.90208616780046,1,75.0,3.0,48000,Zebra Dove,0.2815
../passive-acoustic-biodiversity/BirdnetEmbeddings/data/,Aburria-aburri-387212.wav,183.90208616780046,1,75.0,3.0,48000,Wattled Guan,0.1492
../passive-acoustic-biodiversity/BirdnetEmbeddings/data/,Aburria-aburri-387212.wav,183.90208616780046,1,78.0,3.0,48000,Wattled Guan,0.9999
../passive-acoustic-biodiversity/BirdnetEmbeddings/data/,Aburria-aburri-387212.wav,183.90208616780046,1,81.0,3.0,48000,Ruddy Pigeon,0.4685
../passive-acoustic-biodiversity/BirdnetEmbeddings/data/,Accipiter-bicolor-451839.wav,12.339773242630386,1,0.0,3.0,48000,Bicolored Hawk,0.7095
../passive-acoustic-biodiversity/BirdnetEmbeddings/data/,Accipiter-bicolor-451839.wav,12.339773242630386,1,0.0,3.0,48000,Cooper's Hawk,0.5168
../passive-acoustic-biodiversity/BirdnetEmbeddings/data/,Accipiter-striatus-481896.wav,12.169160997732426,1,0.0,3.0,48000,Sharp-shinned Hawk,0.9994
../passive-acoustic-biodiversity/BirdnetEmbeddings/data/,Actitis-macularius-257516.wav,47.368752834467124,1,0.0,3.0,48000,Spotted Sandpiper,0.996
../passive-acoustic-biodiversity/BirdnetEmbeddings/data/,Actitis-macularius-257516.wav,47.368752834467124,1,0.0,3.0,48000,Peruvian Pygmy-Owl,0.4997
../passive-acoustic-biodiversity/BirdnetEmbeddings/data/,Actitis-macularius-257516.wav,47.368752834467124,1,0.0,3.0,48000,Solitary Sandpiper,0.4445
../passive-acoustic-biodiversity/BirdnetEmbeddings/data/,Actitis-macularius-257516.wav,47.368752834467124,1,3.0,3.0,48000,Spotted Sandpiper,0.8716
../passive-acoustic-biodiversity/BirdnetEmbeddings/data/,Actitis-macularius-257516.wav,47.368752834467124,1,3.0,3.0,48000,Solitary Sandpiper,0.6836
../passive-acoustic-biodiversity/BirdnetEmbeddings/data/,Actitis-macularius-257516.wav,47.368752834467124,1,6.0,3.0,48000,Spotted Sandpiper,0.9887
../passive-acoustic-biodiversity/BirdnetEmbeddings/data/,Actitis-macularius-257516.wav,47.368752834467124,1,9.0,3.0,48000,Spotted Sandpiper,0.9802
../passive-acoustic-biodiversity/BirdnetEmbeddings/data/,Actitis-macularius-257516.wav,47.368752834467124,1,12.0,3.0,48000,Green Sandpiper,0.9518
