,IN FILE,CLIP LENGTH,OFFSET,DURATION,MAX FREQ,MIN FREQ,SAMPLE RATE,MANUAL ID,TIME_SPENT,LAST MOD BY,CONFIDENCE,RETIRED,COUNTED,FOLDER,COMMON,SCIENTIFIC
0,XC87449_-_Scaly-breasted_Woodpecker_-_Celeus_grammicus_subcervinus.mp3,23.2956,0.7025,0.9199,24000,0,44100,Celeus grammicus,365.822,Jared Smith,0,False,0,./COSMOS,Scaly-breasted Woodpecker,Celeus grammicus
1,XC87449_-_Scaly-breasted_Woodpecker_-_Celeus_grammicus_subcervinus.mp3,23.2956,4.6223,0.94,24000,0,44100,Celeus grammicus,365.822,Jared Smith,0,False,0,./COSMOS,Scaly-breasted Woodpecker,Celeus grammicus
2,XC87449_-_Scaly-breasted_Woodpecker_-_Celeus_grammicus_subcervinus.mp3,23.2956,11.442,0.93,24000,0,44100,Celeus grammicus,176.45,Jared Smith,0,False,0,./COSMOS,Scaly-breasted Woodpecker,Celeus grammicus
3,XC87449_-_Scaly-breasted_Woodpecker_-_Celeus_grammicus_subcervinus.mp3,23.2956,18.4117,0.87,24000,0,44100,Celeus grammicus,365.822,Jared Smith,0,False,0,./COSMOS,Scaly-breasted Woodpecker,Celeus grammicus
4,XC87449_-_Scaly-breasted_Woodpecker_-_Celeus_grammicus_subcervinus.mp3,23.2956,21.9915,0.76,24000,0,44100,Celeus grammicus,176.45,Jared Smith,0,False,0,./COSMOS,Scaly-breasted Woodpecker,Celeus grammicus
5,XC87449_-_Scaly-breasted_Woodpecker_-_Celeus_grammicus_subcervinus.mp3,23.2956,1.9324,0.68,24000,0,44100,Celeus grammicus,189.372,Jared Smith,0,False,0,./COSMOS,Scaly-breasted Woodpecker,Celeus grammicus
6,XC87450_-_Scaly-breasted_Woodpecker_-_Celeus_grammicus_subcervinus.mp3,28.8779,0.8825,1.2799,24000,0,44100,Celeus grammicus,66.684,Jared Smith,0,False,0,./COSMOS,Scaly-breasted Woodpecker,Celeus grammicus
7,XC87450_-_Scaly-breasted_Woodpecker_-_Celeus_grammicus_subcervinus.mp3,28.8779,13.1421,1.62,24000,0,44100,Celeus grammicus,66.684,Jared Smith,0,False,0,./COSMOS,Scaly-breasted Woodpecker,Celeus grammicus
8,XC87450_-_Scaly-breasted_Woodpecker_-_Celeus_grammicus_subcervinus.mp3,28.8779,26.9817,1.02,24000,0,44100,bird,66.684,Jared Smith,0,False,0,./COSMOS,bird,bird
9,XC91204_-_Scaly-breasted_Woodpecker_-_Celeus_grammicus.mp3,10.0642,0.0,10.031,24000,0,44100,No class of interest,35.578,Kyle Cook,0,False,0,./COSMOS,No class of interest,No class of interest
10,XC127279_-_Scaly-breasted_Woodpecker_-_Celeus_grammicus.mp3,11.6971,9.5086,1.3916,24000,0,44100,Celeus grammicus,460.326,Jared Smith,0,False,0,./COSMOS,Scaly-breasted Woodpecker,Celeus grammicus
11,XC129963_-_Scaly-breasted_Woodpecker_-_Celeus_grammicus.mp3,50.5687,1.3939,1.98,24000,0,48000,Celeus grammicus,135.216,Brett Khan,0,False,0,./COSMOS,Scaly-breasted Woodpecker,Celeus grammicus
12,XC129963_-_Scaly-breasted_Woodpecker_-_Celeus_grammicus.mp3,50.5687,9.2976,1.45,24000,0,48000,Celeus grammicus,135.216,Brett Khan,0,False,0,./COSMOS,Scaly-breasted Woodpecker,Celeus grammicus
13,XC129963_-_Scaly-breasted_Woodpecker_-_Celeus_grammicus.mp3,50.5687,12.2995,1.5499,24000,0,48000,Celeus grammicus,135.216,Brett Khan,0,False,0,./COSMOS,Scaly-breasted Woodpecker,Celeus grammicus
14,XC129963_-_Scaly-breasted_Woodpecker_-_Celeus_grammicus.mp3,50.5687,15.7014,1.3599,24000,0,48000,Celeus grammicus,135.216,Brett Khan,0,False,0,./COSMOS,Scaly-breasted Woodpecker,Celeus grammicus
15,XC129963_-_Scaly-breasted_Woodpecker_-_Celeus_grammicus.mp3,50.5687,18.5213,1.2999,24000,0,48000,Celeus grammicus,135.216,Brett Khan,0,False,0,./COSMOS,Scaly-breasted Woodpecker,Celeus grammicus
16,XC129963_-_Scaly-breasted_Woodpecker_-_Celeus_grammicus.mp3,50.5687,30.7328,1.3999,24000,0,48000,Celeus grammicus,135.216,Brett Khan,0,False,0,./COSMOS,Scaly-breasted Woodpecker,Celeus grammicus
