,Unnamed: 0,FOLDER,IN FILE,CLIP LENGTH,CHANNEL,OFFSET,DURATION,SAMPLE RATE,MANUAL ID,CONFIDENCE
0,0,./../Stratified_Random_Sample_Peru2019_Subset/AM10_samples/,20190626_234000.WAV,60.0,0,0.0,3.0,48000,Lophostrix cristata,0.0272088404744863
1,1,./../Stratified_Random_Sample_Peru2019_Subset/AM10_samples/,20190626_234000.WAV,60.0,0,3.0,3.0,48000,Ptilinopus occipitalis,0.0248887054622173
2,2,./../Stratified_Random_Sample_Peru2019_Subset/AM10_samples/,20190626_234000.WAV,60.0,0,6.0,3.0,48000,Capito wallacei,0.2089768797159195
3,3,./../Stratified_Random_Sample_Peru2019_Subset/AM10_samples/,20190626_234000.WAV,60.0,0,9.0,3.0,48000,Ptilinopus occipitalis,0.0378322638571262
4,4,./../Stratified_Random_Sample_Peru2019_Subset/AM10_samples/,20190626_234000.WAV,60.0,0,12.0,3.0,48000,Capito wallacei,0.0858572348952293
5,5,./../Stratified_Random_Sample_Peru2019_Subset/AM10_samples/,20190626_234000.WAV,60.0,0,15.0,3.0,48000,Hypocnemis peruviana,0.0056178225204348
6,6,./../Stratified_Random_Sample_Peru2019_Subset/AM10_samples/,20190626_234000.WAV,60.0,0,18.0,3.0,48000,Lophostrix cristata,0.0192981250584125
7,7,./../Stratified_Random_Sample_Peru2019_Subset/AM10_samples/,20190626_234000.WAV,60.0,0,21.0,3.0,48000,Florisuga fusca,0.0894926637411117
8,8,./../Stratified_Random_Sample_Peru2019_Subset/AM10_samples/,20190626_234000.WAV,60.0,0,24.0,3.0,48000,Sicalis auriventris,0.0063325362280011
9,9,./../Stratified_Random_Sample_Peru2019_Subset/AM10_samples/,20190626_234000.WAV,60.0,0,27.0,3.0,48000,Capito wallacei,0.4634592235088348
10,10,./../Stratified_Random_Sample_Peru2019_Subset/AM10_samples/,20190626_234000.WAV,60.0,0,30.0,3.0,48000,Hypocnemis peruviana,0.0057008750736713
