Folder,Clip,Bird(s)?
WWF5_samples_split,5D2C0D00_5.WAV,y
WWF5_samples_split,5D208AE8_13.WAV,n
WWF5_samples_split,5D28A2C8_0.WAV,n
WWF5_samples_split,5D208AE8_10.WAV,y
WWF5_samples_split,5D2C0D00_8.WAV,y
WWF5_samples_split,5D2C0D00_4.WAV,y
WWF5_samples_split,5D2C0D00_0.WAV,n
WWF5_samples_split,5D1F0128_16.WAV,n
WWF5_samples_split,5D208AE8_6.WAV,n
WWF5_samples_split,5D285ED0_1.WAV,n
WWF5_samples_split,5D29ED40_4.WAV,n
WWF5_samples_split,5D2C0D00_3.WAV,n
WWF5_samples_split,5D223320_16.WAV,n
WWF5_samples_split,5D169290_18.WAV,n
WWF5_samples_split,5D169290_2.WAV,n
WWF5_samples_split,5D1EDBA8_3.WAV,n
WWF5_samples_split,5D169998_19.WAV,n
WWF5_samples_split,5D169998_18.WAV,n
WWF5_samples_split,5D22E9F0_8.WAV,n
WWF5_samples_split,5D169998_13.WAV,y
WWF5_samples_split,5D169998_4.WAV,n
WWF5_samples_split,5D1524F0_8.WAV,n
WWF5_samples_split,5D1524F0_11.WAV,n
WWF5_samples_split,5D22E9F0_11.WAV,n
WWF5_samples_split,5D1B1608_5.WAV,n
WWF5_samples_split,5D29ED40_13.WAV,n
WWF5_samples_split,5D1EDBA8_2.WAV,n
WWF5_samples_split,5D169290_11.WAV,y
WWF5_samples_split,5D1EDBA8_7.WAV,n
WWF5_samples_split,5D1524F0_18.WAV,y
WWF5_samples_split,5D26BB48_12.WAV,y
WWF5_samples_split,5D23C898_5.WAV,n
WWF5_samples_split,5D2DD608_19.WAV,y
WWF5_samples_split,5D1EDBA8_11.WAV,y
WWF5_samples_split,5D23C898_14.WAV,n
WWF5_samples_split,5D1A3C10_4.WAV,n
WWF5_samples_split,5D169998_2.WAV,y
WWF5_samples_split,5D1870B0_6.WAV,y
WWF5_samples_split,5D223320_2.WAV,n
WWF5_samples_split,5D20C7D8_2.WAV,n
WWF5_samples_split,5D208AE8_9.WAV,n
WWF5_samples_split,5D28A2C8_2.WAV,y
WWF5_samples_split,5D285ED0_2.WAV,y
WWF5_samples_split,5D223320_1.WAV,n
WWF5_samples_split,5D20C7D8_8.WAV,n
WWF5_samples_split,5D208AE8_15.WAV,n
WWF5_samples_split,5D1870B0_12.WAV,y
WWF5_samples_split,5D22E9F0_7.WAV,n
WWF5_samples_split,5D1524F0_0.WAV,n
WWF5_samples_split,5D1E4A58_15.WAV,n
WWF5_samples_split,5D2DD608_1.WAV,y
WWF5_samples_split,5D1524F0_4.WAV,y
WWF5_samples_split,5D1EDBA8_9.WAV,n
WWF5_samples_split,5D1B1608_9.WAV,n
WWF5_samples_split,5D208AE8_3.WAV,y
WWF5_samples_split,5D223320_12.WAV,n
WWF5_samples_split,5D2DD608_7.WAV,n
WWF5_samples_split,5D1A3C10_16.WAV,n
WWF5_samples_split,5D20C7D8_6.WAV,n
WWF5_samples_split,5D1F0128_7.WAV,y
WWF5_samples_split,5D1B1608_3.WAV,y
WWF5_samples_split,5D169998_8.WAV,y
WWF5_samples_split,5D223320_8.WAV,n
WWF5_samples_split,5D2F0460_6.WAV,y
WWF5_samples_split,5D2C0D00_2.WAV,y
WWF5_samples_split,5D1524F0_2.WAV,y
WWF5_samples_split,5D1524F0_17.WAV,n
WWF5_samples_split,5D1EDBA8_13.WAV,n
WWF5_samples_split,5D285ED0_11.WAV,y
WWF5_samples_split,5D287190_4.WAV,y
WWF5_samples_split,5D2F0460_16.WAV,y
WWF5_samples_split,5D26BB48_10.WAV,y
WWF5_samples_split,5D26BB48_9.WAV,y
WWF5_samples_split,5D287190_19.WAV,y
WWF5_samples_split,5D1870B0_9.WAV,y
WWF5_samples_split,5D1F6398_15.WAV,n
WWF5_samples_split,5D1D0DF0_4.WAV,y
WWF5_samples_split,5D23C898_10.WAV,n
WWF5_samples_split,5D1524F0_10.WAV,y
WWF5_samples_split,5D1F0128_15.WAV,y
WWF5_samples_split,5D1B1608_14.WAV,y
WWF5_samples_split,5D26BB48_16.WAV,n
WWF5_samples_split,5D22E9F0_6.WAV,n
WWF5_samples_split,5D2C0D00_16.WAV,y
WWF5_samples_split,5D1B1608_13.WAV,n
WWF5_samples_split,5D1F6398_3.WAV,y
WWF5_samples_split,5D2DD608_16.WAV,y
WWF5_samples_split,5D1F0128_17.WAV,n
WWF5_samples_split,5D2F0460_0.WAV,y
WWF5_samples_split,5D23C898_1.WAV,y
WWF5_samples_split,5D2C0D00_12.WAV,y
WWF5_samples_split,5D1F6398_11.WAV,n
WWF5_samples_split,5D28A2C8_14.WAV,y
WWF5_samples_split,5D1F6398_1.WAV,y
WWF5_samples_split,5D1870B0_13.WAV,y
WWF5_samples_split,5D1A3C10_14.WAV,n
WWF5_samples_split,5D1B1608_0.WAV,y
WWF5_samples_split,5D2DD608_12.WAV,y
WWF5_samples_split,5D2DD608_0.WAV,n
WWF5_samples_split,5D169290_8.WAV,y
WWF5_samples_split,5D29ED40_17.WAV,y
WWF5_samples_split,5D22E9F0_13.WAV,n
WWF5_samples_split,5D1A3C10_2.WAV,n
WWF5_samples_split,5D2F0460_14.WAV,y
WWF5_samples_split,5D22E9F0_9.WAV,n
WWF5_samples_split,5D2C0D00_13.WAV,y
WWF5_samples_split,5D1F0128_12.WAV,n
WWF5_samples_split,5D20C7D8_11.WAV,n
WWF5_samples_split,5D1E4A58_12.WAV,n
WWF5_samples_split,5D26BB48_8.WAV,y
WWF5_samples_split,5D1A3C10_17.WAV,y
WWF5_samples_split,5D2F0460_8.WAV,y
WWF5_samples_split,5D169998_9.WAV,y
WWF5_samples_split,5D2DD608_18.WAV,y
WWF5_samples_split,5D29ED40_10.WAV,y
WWF5_samples_split,5D287190_9.WAV,y
WWF5_samples_split,5D1E4A58_9.WAV,n
WWF5_samples_split,5D1F0128_13.WAV,n
WWF5_samples_split,5D1A3C10_15.WAV,y
WWF5_samples_split,5D1870B0_5.WAV,y
WWF5_samples_split,5D1B1608_4.WAV,n
WWF5_samples_split,5D2DD608_11.WAV,y
WWF5_samples_split,5D26BB48_7.WAV,y
WWF5_samples_split,5D28A2C8_15.WAV,n
WWF5_samples_split,5D1F6398_5.WAV,y
WWF5_samples_split,5D20C7D8_9.WAV,n
WWF5_samples_split,5D20C7D8_4.WAV,y
WWF5_samples_split,5D23C898_7.WAV,n
WWF5_samples_split,5D22E9F0_14.WAV,n
WWF5_samples_split,5D1D0DF0_5.WAV,y
WWF5_samples_split,5D1F0128_19.WAV,y
WWF5_samples_split,5D20C7D8_5.WAV,n
WWF5_samples_split,5D1A3C10_10.WAV,n
WWF5_samples_split,5D287190_13.WAV,y
WWF5_samples_split,5D1A3C10_0.WAV,n
WWF5_samples_split,5D1B1608_7.WAV,n
WWF5_samples_split,5D1EDBA8_8.WAV,n
WWF5_samples_split,5D2F0460_2.WAV,y
WWF5_samples_split,5D285ED0_3.WAV,y
WWF5_samples_split,5D208AE8_7.WAV,y
WWF5_samples_split,5D287190_16.WAV,y
WWF5_samples_split,5D1524F0_1.WAV,n
WWF5_samples_split,5D22E9F0_15.WAV,n
WWF5_samples_split,5D1EDBA8_0.WAV,n
WWF5_samples_split,5D20C7D8_7.WAV,n
WWF5_samples_split,5D285ED0_14.WAV,y
WWF5_samples_split,5D1F0128_2.WAV,n
WWF5_samples_split,5D28A2C8_10.WAV,n
WWF5_samples_split,5D22E9F0_18.WAV,n
WWF5_samples_split,5D208AE8_4.WAV,n
WWF5_samples_split,5D1D0DF0_6.WAV,y
WWF5_samples_split,5D1A3C10_7.WAV,n
WWF5_samples_split,5D169290_15.WAV,y
WWF5_samples_split,5D169290_0.WAV,y
WWF5_samples_split,5D223320_6.WAV,n
WWF5_samples_split,5D2F0460_1.WAV,y
WWF5_samples_split,5D2C0D00_19.WAV,y
WWF5_samples_split,5D28A2C8_6.WAV,n
WWF5_samples_split,5D1524F0_5.WAV,n
WWF5_samples_split,5D2C0D00_11.WAV,y
WWF5_samples_split,5D29ED40_18.WAV,y
WWF5_samples_split,5D223320_15.WAV,n
WWF5_samples_split,5D208AE8_19.WAV,y
WWF5_samples_split,5D1E4A58_11.WAV,n
WWF5_samples_split,5D1E4A58_1.WAV,n
WWF5_samples_split,5D1870B0_4.WAV,y
WWF5_samples_split,5D1F0128_11.WAV,n
WWF5_samples_split,5D1EDBA8_18.WAV,y
WWF5_samples_split,5D1F0128_5.WAV,y
WWF5_samples_split,5D1E4A58_8.WAV,n
WWF5_samples_split,5D223320_0.WAV,n
WWF5_samples_split,5D1E4A58_3.WAV,n
WWF5_samples_split,5D208AE8_16.WAV,y
WWF5_samples_split,5D285ED0_4.WAV,y
WWF5_samples_split,5D29ED40_9.WAV,y
WWF5_samples_split,5D1E4A58_2.WAV,n
WWF5_samples_split,5D26BB48_15.WAV,y
WWF5_samples_split,5D29ED40_19.WAV,y
WWF5_samples_split,5D285ED0_19.WAV,n
WWF5_samples_split,5D2DD608_2.WAV,y
WWF5_samples_split,5D2DD608_17.WAV,n
WWF5_samples_split,5D20C7D8_13.WAV,y
WWF5_samples_split,5D169290_16.WAV,y
WWF5_samples_split,5D26BB48_13.WAV,y
WWF5_samples_split,5D1E4A58_0.WAV,y
WWF5_samples_split,5D1B1608_8.WAV,y
WWF5_samples_split,5D1D0DF0_12.WAV,y
WWF5_samples_split,5D1870B0_1.WAV,y
WWF5_samples_split,5D1D0DF0_19.WAV,y
WWF5_samples_split,5D1A3C10_11.WAV,y
WWF5_samples_split,5D23C898_4.WAV,y
WWF5_samples_split,5D1F6398_18.WAV,y
WWF5_samples_split,5D169998_11.WAV,n
WWF5_samples_split,5D2C0D00_15.WAV,y
WWF5_samples_split,5D287190_18.WAV,y
WWF5_samples_split,5D22E9F0_19.WAV,n
WWF5_samples_split,5D1D0DF0_7.WAV,y
WWF5_samples_split,5D287190_17.WAV,y
