ID,Order,Family,Genus,Epithet,Species,Common,CommonES,Status,XCRecordings,VoucherMUSM-Orn,Priority
1,Tinamiformes,Tinamidae,Nothocercus,nigrocapillus,Nothocercus nigrocapillus,Hooded Tinamou,Tinamú Cabecinegro,Vulnerable,14,,
2,Tinamiformes,Tinamidae,Tinamus,tao,Tinamus tao,Grey Tinamou,Tinamú Tao,Vulnerable,54,amazoncam,1
3,Tinamiformes,Tinamidae,Tinamus,osgoodi,Tinamus osgoodi,Black Tinamou,Tinamú Negro,Vulnerable,11,,
4,Tinamiformes,Tinamidae,Tinamus,major,Tinamus major,Great Tinamou,Tinamú Oliváceo,Casi amenazada,107,"1, amazoncam",1
5,Tinamiformes,Tinamidae,Tinamus,guttatus,Tinamus guttatus,White-throated Tinamou,Tinamú Moteado,Casi amenazada,47,,
6,Tinamiformes,Tinamidae,Crypturellus,cinereus,Crypturellus cinereus,Cinereous Tinamou,Tinamú Sombrío,,220,amazoncam,
7,Tinamiformes,Tinamidae,Crypturellus,soui,Crypturellus soui,Little Tinamou,Tinamú Chico,,315,amazoncam,1
8,Tinamiformes,Tinamidae,Crypturellus,obsoletus,Crypturellus obsoletus,Brown Tinamou,Tinamú Café,,181,,
9,Tinamiformes,Tinamidae,Crypturellus,undulatus,Crypturellus undulatus,Undulated Tinamou,Tinamú ondeado,,170,amazoncam,1
10,Tinamiformes,Tinamidae,Crypturellus,strigulosus,Crypturellus strigulosus,Brazilian Tinamou,Tinamú Brasileño,,64,,
11,Tinamiformes,Tinamidae,Crypturellus,atrocapillus,Crypturellus atrocapillus,Black-capped Tinamou,Tinamú Capirotado,Casi amenazada,29,amazoncam,
12,Tinamiformes,Tinamidae,Crypturellus,variegatus,Crypturellus variegatus,Variegated Tinamou,Tinamú Abigarrado,,71,amazoncam,
13,Tinamiformes,Tinamidae,Crypturellus,bartletti,Crypturellus bartletti,Bartlett's Tinamou,Tinamú de Bartlett,,40,1,
14,Tinamiformes,Tinamidae,Crypturellus,parvirostris,Crypturellus parvirostris,Small-billed Tinamou,Tinamú Piquicorto,,73,,
15,Tinamiformes,Tinamidae,Rhynchotus,rufescens,Rhynchotus rufescens,Red-winged Tinamou,Tinamú alirroj,,63,,
16,Anseriformes,Anhimidae,Anhima,cornuta,Anhima cornuta,Horned Screamer,Chajá Añuma,,71,,
17,Anseriformes,Anhimidae,Chauna,torquata,Chauna torquata,Southern Screamer,Chajá Común,Raras/Accidentales,79,,
18,Anseriformes,Anatidae,Dendrocygna,bicolor,Dendrocygna bicolor,Fulvous Whistling Duck,Suirirí Bicolor,Erradicadas,51,,
19,Anseriformes,Anatidae,Dendrocygna,viduata,Dendrocygna viduata,White-faced Whistling Duck,Suirirí Cariblanco ,,113,,
20,Anseriformes,Anatidae,Dendrocygna,autumnalis,Dendrocygna autumnalis,Black-bellied Whistling Duck,Suirirí Piquirrojo,,180,,
21,Anseriformes,Anatidae,Oressochen,jubatus,Oressochen jubatus,NA,Ganso del Orinoco,Casi amenazada,0,,
22,Anseriformes,Anatidae,Amazonetta,brasiliensis,Amazonetta brasiliensis,Brazilian Teal,Pato Brasileño,,49,,
23,Anseriformes,Anatidae,Merganetta,armata,Merganetta armata,Torrent Duck,Pato Torrentero,,6,,
24,Anseriformes,Anatidae,Spatula,puna,Spatula puna,Puna Teal,Cerceta de la Puna,,19,,
25,Anseriformes,Anatidae,Spatula,discors,Spatula discors,Blue-winged Teal,Cerceta Aliazul,,76,,
26,Anseriformes,Anatidae,Spatula,cyanoptera,Spatula cyanoptera,Cinnamon Teal,Cerceta Colorada,,19,,
27,Anseriformes,Anatidae,Anas,flavirostris,Anas flavirostris,Yellow-billed Teal,Cerceta barcina,,42,BIOPE,
28,Anseriformes,Anatidae,Netta,peposaca,Netta peposaca,Rosy-billed Pochard,Pato Picazo,,12,,
29,Anseriformes,Anatidae,Nomonyx,dominicus,Nomonyx dominicus,Masked Duck,Malvasía Enmascarada,Raras/Accidentales,14,,
30,Anseriformes,Anatidae,Oxyura,jamaicensis,Oxyura jamaicensis,Ruddy Duck,Malvasía Canela,,30,,
31,Galliformes,Cracidae,Chamaepetes,goudotii,Chamaepetes goudotii,Sickle-winged Guan,Pava Falcialar,,41,,
32,Galliformes,Cracidae,Penelope,jacquacu,Penelope jacquacu,Spix's Guan,Pava Amazónica,Casi amenazada,54,amazoncam,1
33,Galliformes,Cracidae,Pipile,cumanensis,Pipile cumanensis,Blue-throated Piping Guan,Pava Goliazul,,40,amazoncam,1
34,Galliformes,Cracidae,Aburria,aburri,Aburria aburri,Wattled Guan,Pava Aburria,,58,,
35,Galliformes,Cracidae,Ortalis,guttata,Ortalis guttata,Speckled Chachalaca,Chachalaca moteada,,91,,
36,Galliformes,Cracidae,Crax,globulosa,Crax globulosa,Wattled Curassow,Pavón Carunculado,En Peligro,12,,
37,Galliformes,Cracidae,Mitu,tuberosum,Mitu tuberosum,Razor-billed Curassow,Paují Tuberoso,,28,amazoncam,1
38,Galliformes,Cracidae,Pauxi,koepckeae,Pauxi koepckeae,Sira Curassow,Paují unicornio peruano,End‚mico (pa¡s/regi¢n)ÿEn peligro cr¡tico,7,,
39,Galliformes,Odontophoridae,Odontophorus,gujanensis,Odontophorus gujanensis,Marbled Wood Quail,Corcovado Común,Casi amenazada,81,,
40,Galliformes,Odontophoridae,Odontophorus,speciosus,Odontophorus speciosus,Rufous-breasted Wood Quail,Corcovado Pechirrufo,Casi amenazada,30,,
41,Galliformes,Odontophoridae,Odontophorus,balliviani,Odontophorus balliviani,Stripe-faced Wood Quail,Corcovado Enmascarado,,14,,
42,Galliformes,Odontophoridae,Odontophorus,stellatus,Odontophorus stellatus,Starred Wood Quail,Corcovado Estrellado,,32,amazoncam,1
43,Podicipediformes,Podicipedidae,Rollandia,rolland,Rollandia rolland,White-tufted Grebe,Zampullín Pimpollo,,9,,
44,Podicipediformes,Podicipedidae,Tachybaptus,dominicus,Tachybaptus dominicus,Least Grebe,Zampullín Macacito,,74,,
45,Podicipediformes,Podicipedidae,Podilymbus,podiceps,Podilymbus podiceps,Pied-billed Grebe,Zampullín Picogrueso,Raras/Accidentales,151,,
46,Columbiformes,Columbidae,Columba,livia,Columba livia,Rock Dove,Paloma Bravía ,Especies introducidas,141,,
47,Columbiformes,Columbidae,Patagioenas,speciosa,Patagioenas speciosa,Scaled Pigeon,Paloma Escamosa,,109,,
48,Columbiformes,Columbidae,Patagioenas,picazuro,Patagioenas picazuro,Picazuro Pigeon,Paloma Picazuró ,,86,,
49,Columbiformes,Columbidae,Patagioenas,fasciata,Patagioenas fasciata,Band-tailed Pigeon,Paloma torcaza septentrional,,116,,
50,Columbiformes,Columbidae,Patagioenas,cayennensis,Patagioenas cayennensis,Pale-vented Pigeon,Paloma Colorada,,131,,
