,FOLDER,IN FILE,CLIP LENGTH,CHANNEL,OFFSET,DURATION,SAMPLE RATE,MANUAL ID,CONFIDENCE,y
201,.\cosmos_data\Cosmos_data,XC100864 - Rufous-collared Sparrow - Zonotrichia capensis costaricensis_0.wav,9.299591836734693,0,0.0,3.0,44100,Zonotrichia capensis,0.9144953958590212,9
202,.\cosmos_data\Cosmos_data,XC100864 - Rufous-collared Sparrow - Zonotrichia capensis costaricensis_3.wav,9.299591836734693,0,3.0,3.0,44100,Zonotrichia capensis,0.15758765982794642,9
203,.\cosmos_data\Cosmos_data,XC100864 - Rufous-collared Sparrow - Zonotrichia capensis costaricensis_6.wav,9.299591836734693,0,6.0,3.0,44100,Zonotrichia capensis,1.0,9
268,.\cosmos_data\Cosmos_data,XC101469 - Pale-breasted Thrush - Turdus leucomelas_0.wav,137.37795918367348,0,0.0,3.0,44100,Turdus leucomelas,0.7430047433112856,7
269,.\cosmos_data\Cosmos_data,XC101469 - Pale-breasted Thrush - Turdus leucomelas_3.wav,137.37795918367348,0,3.0,3.0,44100,Turdus leucomelas,0.8429124652446088,7
270,.\cosmos_data\Cosmos_data,XC101469 - Pale-breasted Thrush - Turdus leucomelas_6.wav,137.37795918367348,0,6.0,3.0,44100,Turdus leucomelas,0.8714860773968881,7
271,.\cosmos_data\Cosmos_data,XC101469 - Pale-breasted Thrush - Turdus leucomelas_9.wav,137.37795918367348,0,9.0,3.0,44100,Turdus leucomelas,0.8565187494881763,7
272,.\cosmos_data\Cosmos_data,XC101469 - Pale-breasted Thrush - Turdus leucomelas_12.wav,137.37795918367348,0,12.0,3.0,44100,Turdus leucomelas,0.7525100779990398,7
273,.\cosmos_data\Cosmos_data,XC101469 - Pale-breasted Thrush - Turdus leucomelas_15.wav,137.37795918367348,0,15.0,3.0,44100,Turdus leucomelas,0.7267909046078377,7
274,.\cosmos_data\Cosmos_data,XC101469 - Pale-breasted Thrush - Turdus leucomelas_18.wav,137.37795918367348,0,18.0,3.0,44100,Turdus leucomelas,0.8548106906736814,7
275,.\cosmos_data\Cosmos_data,XC101469 - Pale-breasted Thrush - Turdus leucomelas_21.wav,137.37795918367348,0,21.0,3.0,44100,Turdus leucomelas,0.8284931500513059,7
276,.\cosmos_data\Cosmos_data,XC101469 - Pale-breasted Thrush - Turdus leucomelas_24.wav,137.37795918367348,0,24.0,3.0,44100,Turdus leucomelas,0.7894802793740019,7
277,.\cosmos_data\Cosmos_data,XC101469 - Pale-breasted Thrush - Turdus leucomelas_27.wav,137.37795918367348,0,27.0,3.0,44100,Turdus leucomelas,0.7571750717183915,7
278,.\cosmos_data\Cosmos_data,XC101469 - Pale-breasted Thrush - Turdus leucomelas_30.wav,137.37795918367348,0,30.0,3.0,44100,Turdus leucomelas,0.7902862144368604,7
279,.\cosmos_data\Cosmos_data,XC101469 - Pale-breasted Thrush - Turdus leucomelas_33.wav,137.37795918367348,0,33.0,3.0,44100,Turdus leucomelas,0.7902862144368604,7
280,.\cosmos_data\Cosmos_data,XC101469 - Pale-breasted Thrush - Turdus leucomelas_36.wav,137.37795918367348,0,36.0,3.0,44100,Turdus leucomelas,0.8649369943063655,7
281,.\cosmos_data\Cosmos_data,XC101469 - Pale-breasted Thrush - Turdus leucomelas_39.wav,137.37795918367348,0,39.0,3.0,44100,Turdus leucomelas,0.8649369943063655,7
282,.\cosmos_data\Cosmos_data,XC101469 - Pale-breasted Thrush - Turdus leucomelas_42.wav,137.37795918367348,0,42.0,3.0,44100,Turdus leucomelas,0.7105978279437707,7
283,.\cosmos_data\Cosmos_data,XC101469 - Pale-breasted Thrush - Turdus leucomelas_45.wav,137.37795918367348,0,45.0,3.0,44100,Turdus leucomelas,0.8594485097744002,7
284,.\cosmos_data\Cosmos_data,XC101469 - Pale-breasted Thrush - Turdus leucomelas_48.wav,137.37795918367348,0,48.0,3.0,44100,Turdus leucomelas,0.8601999904757429,7
285,.\cosmos_data\Cosmos_data,XC101469 - Pale-breasted Thrush - Turdus leucomelas_51.wav,137.37795918367348,0,51.0,3.0,44100,Turdus leucomelas,0.8601999904757429,7
286,.\cosmos_data\Cosmos_data,XC101469 - Pale-breasted Thrush - Turdus leucomelas_54.wav,137.37795918367348,0,54.0,3.0,44100,Turdus leucomelas,0.9757504636242236,7
287,.\cosmos_data\Cosmos_data,XC101469 - Pale-breasted Thrush - Turdus leucomelas_57.wav,137.37795918367348,0,57.0,3.0,44100,Turdus leucomelas,0.9757504636242236,7
288,.\cosmos_data\Cosmos_data,XC101469 - Pale-breasted Thrush - Turdus leucomelas_60.wav,137.37795918367348,0,60.0,3.0,44100,Turdus leucomelas,0.9192371385473491,7
289,.\cosmos_data\Cosmos_data,XC101469 - Pale-breasted Thrush - Turdus leucomelas_63.wav,137.37795918367348,0,63.0,3.0,44100,Turdus leucomelas,0.9192371385473491,7
290,.\cosmos_data\Cosmos_data,XC101469 - Pale-breasted Thrush - Turdus leucomelas_66.wav,137.37795918367348,0,66.0,3.0,44100,Turdus leucomelas,0.9062652265905904,7
291,.\cosmos_data\Cosmos_data,XC101469 - Pale-breasted Thrush - Turdus leucomelas_69.wav,137.37795918367348,0,69.0,3.0,44100,Turdus leucomelas,0.9062652265905904,7
292,.\cosmos_data\Cosmos_data,XC101469 - Pale-breasted Thrush - Turdus leucomelas_72.wav,137.37795918367348,0,72.0,3.0,44100,Turdus leucomelas,0.9062652265905904,7
293,.\cosmos_data\Cosmos_data,XC101469 - Pale-breasted Thrush - Turdus leucomelas_75.wav,137.37795918367348,0,75.0,3.0,44100,Turdus leucomelas,0.8360320305179902,7
294,.\cosmos_data\Cosmos_data,XC101469 - Pale-breasted Thrush - Turdus leucomelas_78.wav,137.37795918367348,0,78.0,3.0,44100,Turdus leucomelas,0.7843566285517674,7
295,.\cosmos_data\Cosmos_data,XC101469 - Pale-breasted Thrush - Turdus leucomelas_81.wav,137.37795918367348,0,81.0,3.0,44100,Turdus leucomelas,0.3632366884053103,7
296,.\cosmos_data\Cosmos_data,XC101469 - Pale-breasted Thrush - Turdus leucomelas_84.wav,137.37795918367348,0,84.0,3.0,44100,Turdus leucomelas,0.8071761597543793,7
297,.\cosmos_data\Cosmos_data,XC101469 - Pale-breasted Thrush - Turdus leucomelas_87.wav,137.37795918367348,0,87.0,3.0,44100,Turdus leucomelas,0.8071761597543793,7
298,.\cosmos_data\Cosmos_data,XC101469 - Pale-breasted Thrush - Turdus leucomelas_90.wav,137.37795918367348,0,90.0,3.0,44100,Turdus leucomelas,0.8264838576983486,7
299,.\cosmos_data\Cosmos_data,XC101469 - Pale-breasted Thrush - Turdus leucomelas_93.wav,137.37795918367348,0,93.0,3.0,44100,Turdus leucomelas,0.8264838576983486,7
300,.\cosmos_data\Cosmos_data,XC101469 - Pale-breasted Thrush - Turdus leucomelas_96.wav,137.37795918367348,0,96.0,3.0,44100,Turdus leucomelas,0.8128684802071536,7
301,.\cosmos_data\Cosmos_data,XC101469 - Pale-breasted Thrush - Turdus leucomelas_99.wav,137.37795918367348,0,99.0,3.0,44100,Turdus leucomelas,0.6010870057701649,7
302,.\cosmos_data\Cosmos_data,XC101469 - Pale-breasted Thrush - Turdus leucomelas_102.wav,137.37795918367348,0,102.0,3.0,44100,Turdus leucomelas,0.7368631743760061,7
303,.\cosmos_data\Cosmos_data,XC101469 - Pale-breasted Thrush - Turdus leucomelas_105.wav,137.37795918367348,0,105.0,3.0,44100,Turdus leucomelas,0.7368631743760061,7
304,.\cosmos_data\Cosmos_data,XC101469 - Pale-breasted Thrush - Turdus leucomelas_108.wav,137.37795918367348,0,108.0,3.0,44100,Turdus leucomelas,0.5977626616114518,7
305,.\cosmos_data\Cosmos_data,XC101469 - Pale-breasted Thrush - Turdus leucomelas_111.wav,137.37795918367348,0,111.0,3.0,44100,Turdus leucomelas,0.711354459733365,7
306,.\cosmos_data\Cosmos_data,XC101469 - Pale-breasted Thrush - Turdus leucomelas_114.wav,137.37795918367348,0,114.0,3.0,44100,Turdus leucomelas,0.711354459733365,7
307,.\cosmos_data\Cosmos_data,XC101469 - Pale-breasted Thrush - Turdus leucomelas_117.wav,137.37795918367348,0,117.0,3.0,44100,Turdus leucomelas,0.6455460484687969,7
308,.\cosmos_data\Cosmos_data,XC101469 - Pale-breasted Thrush - Turdus leucomelas_120.wav,137.37795918367348,0,120.0,3.0,44100,Turdus leucomelas,0.8812456025212159,7
309,.\cosmos_data\Cosmos_data,XC101469 - Pale-breasted Thrush - Turdus leucomelas_123.wav,137.37795918367348,0,123.0,3.0,44100,Turdus leucomelas,0.8806690485719239,7
310,.\cosmos_data\Cosmos_data,XC101469 - Pale-breasted Thrush - Turdus leucomelas_126.wav,137.37795918367348,0,126.0,3.0,44100,Turdus leucomelas,1.0,7
311,.\cosmos_data\Cosmos_data,XC101469 - Pale-breasted Thrush - Turdus leucomelas_129.wav,137.37795918367348,0,129.0,3.0,44100,Turdus leucomelas,1.0,7
312,.\cosmos_data\Cosmos_data,XC101469 - Pale-breasted Thrush - Turdus leucomelas_132.wav,137.37795918367348,0,132.0,3.0,44100,Turdus leucomelas,1.0,7
313,.\cosmos_data\Cosmos_data,XC101564 - Rufous-collared Sparrow - Zonotrichia capensis costaricensis_0.wav,63.921632653061216,0,0.0,3.0,44100,Zonotrichia capensis,0.7486940908637498,9
314,.\cosmos_data\Cosmos_data,XC101564 - Rufous-collared Sparrow - Zonotrichia capensis costaricensis_3.wav,63.921632653061216,0,3.0,3.0,44100,Zonotrichia capensis,0.7486940908637498,9
315,.\cosmos_data\Cosmos_data,XC101564 - Rufous-collared Sparrow - Zonotrichia capensis costaricensis_6.wav,63.921632653061216,0,6.0,3.0,44100,no bird,0.0,10
316,.\cosmos_data\Cosmos_data,XC101564 - Rufous-collared Sparrow - Zonotrichia capensis costaricensis_9.wav,63.921632653061216,0,9.0,3.0,44100,no bird,0.0,10
317,.\cosmos_data\Cosmos_data,XC101564 - Rufous-collared Sparrow - Zonotrichia capensis costaricensis_12.wav,63.921632653061216,0,12.0,3.0,44100,Zonotrichia capensis,0.9347388154670436,9
