Common name / Scientific,Count
Jamaican Vireo (Vireo modestus),16
White-chinned Thrush (Turdus aurantius),10
Jamaican Becard (Pachyramphus niger),9
Black-billed Amazon (Amazona agilis),8
Jamaican Crow (Corvus jamaicensis),8
Jamaican Blackbird (Nesopsar nigerrimus),6
Orangequit (Euneornis campestris),5
Bananaquit (Coereba flaveola),5
Jamaican Tody (Todus todus),5
Jamaican Euphonia (Euphonia jamaica),5
Jamaican Owl (Pseudoscops grammicus),4
Greater Antillean Grackle (Quiscalus niger),4
Red-billed Streamertail (Trochilus polytmus),4
Jamaican Woodpecker (Melanerpes radiolatus),4
Jamaican Pewee (Contopus pallidus),4
Jamaican Oriole (Icterus leucopteryx),4
Yellow-shouldered Grassquit (Loxipasser anoxanthus),4
Olive-throated Parakeet (Eupsittula nana),3
Sad Flycatcher (Myiarchus barbirostris),3
Mangrove Warbler (Setophaga petechia eoa),2
Vervain Hummingbird (Mellisuga minima minima),2
Loggerhead Kingbird (Tyrannus caudifasciatus),2
Loggerhead Kingbird (Tyrannus caudifasciatus jamaicensis),2
Black-billed Streamertail (Trochilus scitulus),2
Rufous-tailed Flycatcher (Myiarchus validus),2
Rufous-throated Solitaire (Myadestes genibarbis solitarius),2
Black-whiskered Vireo (Vireo altiloquus),2
American Redstart (Setophaga ruticilla),2
Vervain Hummingbird (Mellisuga minima),2
White-eyed Thrush (Turdus jamaicensis),2
Yellow-billed Amazon (Amazona collaria),2
Yellow-faced Grassquit (Tiaris olivaceus),2
Greater Antillean Bullfinch (Loxigilla violacea ruficollis),2
Grey Kingbird (Tyrannus dominicensis),2
Greater Antillean Bullfinch (Loxigilla violacea),2
Arrowhead Warbler (Setophaga pharetra),1
White-winged Dove (Zenaida asiatica),1
Ruddy Quail-Dove (Geotrygon montana),1
Ring-tailed Pigeon (Patagioenas caribaea),1
Bahama Mockingbird (Mimus gundlachii hillii),1
Plain Pigeon (Patagioenas inornata),1
Ovenbird (Seiurus aurocapilla),1
Bahama Mockingbird (Mimus gundlachii),1
Greater Antillean Elaenia (Elaenia fallax),1
Northern Parula (Setophaga americana),1
Jamaican Oriole (Icterus leucopteryx leucopteryx),1
Crested Quail-Dove (Geotrygon versicolor),1
Chestnut-bellied Cuckoo (Coccyzus pluvialis),1
Jamaican Elaenia (Myiopagis cotta),1
Caribbean Dove (Leptotila jamaicensis jamaicensis),1
Jamaican Lizard Cuckoo (Coccyzus vetula),1
Jamaican Mango (Anthracothorax mango),1
Blue Mountain Vireo (Vireo osburni),1
Northern Mockingbird (Mimus polyglottos),1
Jamaican Spindalis (Spindalis nigricephala),1
Black-faced Grassquit (Tiaris bicolor marchii),1
Bananaquit (Coereba flaveola flaveola),1
Mangrove Warbler (Setophaga petechia Golden (Petechia)),1
Greater Antillean Grackle (Quiscalus niger crassirostris),1
Northern Mockingbird (Mimus polyglottos orpheus),1
(?) Identity unknown,1
