Common name / Scientific,Count
Bananaquit (Coereba flaveola),422
American Redstart (Setophaga ruticilla),395
Northern Mockingbird (Mimus polyglottos),343
Northern Parula (Setophaga americana),278
Ovenbird (Seiurus aurocapilla),253
Northern Mockingbird (Mimus polyglottos polyglottos),134
White-winged Dove (Zenaida asiatica),121
Ruddy Quail-Dove (Geotrygon montana),104
Yellow-faced Grassquit (Tiaris olivaceus),97
Grey Kingbird (Tyrannus dominicensis),77
Mangrove Warbler (Setophaga petechia),75
Black-faced Grassquit (Tiaris bicolor),51
Black-whiskered Vireo (Vireo altiloquus),51
White-winged Dove (Zenaida asiatica mearnsi),45
Mangrove Warbler (Setophaga petechia rhizophorae),38
Olive-throated Parakeet (Eupsittula nana),27
Greater Antillean Grackle (Quiscalus niger),27
Bananaquit (Coereba flaveola intermedia),26
Ovenbird (Seiurus aurocapilla aurocapilla),25
Rufous-throated Solitaire (Myadestes genibarbis),22
Ruddy Quail-Dove (Geotrygon montana montana),19
Bahama Mockingbird (Mimus gundlachii),18
Jamaican Vireo (Vireo modestus),17
Bananaquit (Coereba flaveola chloropyga),15
Mangrove Warbler (Setophaga petechia peruviana),14
Bananaquit (Coereba flaveola mexicana),13
Olive-throated Parakeet (Eupsittula nana astec),12
Yellow-faced Grassquit (Tiaris olivaceus pusillus),12
Bananaquit (Coereba flaveola bananivora),10
White-chinned Thrush (Turdus aurantius),10
White-winged Dove (Zenaida asiatica asiatica),9
Jamaican Becard (Pachyramphus niger),9
Bananaquit (Coereba flaveola portoricensis),9
Jamaican Crow (Corvus jamaicensis),9
Black-whiskered Vireo (Vireo altiloquus barbatulus),9
Mangrove Warbler (Setophaga petechia rufivertex),8
Black-billed Amazon (Amazona agilis),8
Bananaquit (Coereba flaveola tricolor),8
Plain Pigeon (Patagioenas inornata),8
Vervain Hummingbird (Mellisuga minima),7
Greater Antillean Bullfinch (Loxigilla violacea),7
Jamaican Woodpecker (Melanerpes radiolatus),7
Mangrove Warbler (Setophaga petechia aureola),7
Northern Mockingbird (Mimus polyglottos leucopterus),7
White-winged Dove (Zenaida asiatica australis),6
Caribbean Dove (Leptotila jamaicensis),6
Mangrove Warbler (Setophaga petechia castaneiceps),6
Mangrove Warbler (Setophaga petechia erithachorides),6
Jamaican Blackbird (Nesopsar nigerrimus),6
Loggerhead Kingbird (Tyrannus caudifasciatus),6
Bananaquit (Coereba flaveola minima),6
Loggerhead Kingbird (Tyrannus caudifasciatus taylori),6
Bananaquit (Coereba flaveola oblita),5
Grey Kingbird (Tyrannus dominicensis dominicensis),5
Bananaquit (Coereba flaveola bartholemica),5
Jamaican Tody (Todus todus),5
Mangrove Warbler (Setophaga petechia petechia),5
Mangrove Warbler (Setophaga petechia xanthotera),5
Jamaican Euphonia (Euphonia jamaica),5
Black-faced Grassquit (Tiaris bicolor omissus),5
Orangequit (Euneornis campestris),5
Jamaican Owl (Pseudoscops grammicus),4
Mangrove Warbler (Setophaga petechia bartholemica),4
Mangrove Warbler (Setophaga petechia gundlachi),4
Jamaican Oriole (Icterus leucopteryx),4
Red-billed Streamertail (Trochilus polytmus),4
Sad Flycatcher (Myiarchus barbirostris),4
Yellow-faced Grassquit (Tiaris olivaceus pusilla),4
Jamaican Pewee (Contopus pallidus),4
Yellow-shouldered Grassquit (Loxipasser anoxanthus),4
Bahama Mockingbird (Mimus gundlachii gundlachii),4
Bananaquit (Coereba flaveola magnirostris),4
Bananaquit (Coereba flaveola columbiana),4
Bananaquit (Coereba flaveola barbadensis),3
Mangrove Warbler (Setophaga petechia bryanti),3
Northern Mockingbird (Mimus polyglottos orpheus),3
Yellow-faced Grassquit (Tiaris olivaceus olivaceus),3
Yellow-billed Amazon (Amazona collaria),3
Loggerhead Kingbird (Tyrannus caudifasciatus caudifasciatus),3
Vervain Hummingbird (Mellisuga minima minima),3
Bananaquit (Coereba flaveola bahamensis),3
Bananaquit (Coereba flaveola chloropyga (ssp assumed from location)),3
Rufous-tailed Flycatcher (Myiarchus validus),3
Greater Antillean Elaenia (Elaenia fallax),3
Black-faced Grassquit (Tiaris bicolor laetus ?),2
Bananaquit (Coereba flaveola minima (ssp assumed from location)),2
(?) Bananaquit (Coereba flaveola),2
Rufous-throated Solitaire (Myadestes genibarbis dominicanus),2
Rufous-throated Solitaire (Myadestes genibarbis genibarbis),2
Rufous-throated Solitaire (Myadestes genibarbis solitarius),2
Mangrove Warbler (Setophaga petechia rufopileata),2
Bananaquit (Coereba flaveola alleni),2
White-eyed Thrush (Turdus jamaicensis),2
Arrowhead Warbler (Setophaga pharetra),2
Yellow-faced Grassquit (Tiaris olivaceus ss pusillus),2
(?) Black-whiskered Vireo (Vireo altiloquus),2
Black-whiskered Vireo (Vireo altiloquus altiloquus),2
Black-billed Streamertail (Trochilus scitulus),2
(?) American Redstart (Setophaga ruticilla),2
Loggerhead Kingbird (Tyrannus caudifasciatus bahamensis),2
Mangrove Warbler (Setophaga petechia eoa),2
Greater Antillean Bullfinch (Loxigilla violacea ruficollis),2
Loggerhead Kingbird (Tyrannus caudifasciatus jamaicensis),2
Greater Antillean Grackle (Quiscalus niger gundlachii),2
Caribbean Dove (Leptotila jamaicensis gaumeri),2
(?) Ovenbird (Seiurus aurocapilla),1
Bahama Mockingbird (Mimus gundlachii hillii),1
Grey Kingbird (Tyrannus dominicensis vorax),1
Bananaquit (Coereba flaveola alleni?),1
Jamaican Spindalis (Spindalis nigricephala),1
Jamaican Mango (Anthracothorax mango),1
Loggerhead Kingbird (Tyrannus caudifasciatus gabbii),1
Loggerhead Kingbird (Tyrannus caudifasciatus caymanensis),1
(?) Ruddy Quail-Dove (Geotrygon montana),1
Yellow-faced Grassquit (Tiaris olivaceus ravidus),1
(?) White-winged Dove (Zenaida asiatica),1
Mangrove Warbler (Setophaga petechia Golden (Petechia)),1
Yellow-faced Grassquit (Tiaris olivaceus cozumelae),1
Yellow-faced Grassquit (Tiaris olivaceus intermedius),1
Jamaican Lizard Cuckoo (Coccyzus vetula),1
Jamaican Elaenia (Myiopagis cotta),1
Blue Mountain Vireo (Vireo osburni),1
Mangrove Warbler (Setophaga petechia aestiva),1
Bananaquit (Coereba flaveola mexicana?),1
Mangrove Warbler (Setophaga petechia ruficapilla),1
Black-faced Grassquit (Tiaris bicolor marchii),1
Caribbean Dove (Leptotila jamaicensis jamaicensis),1
Black-faced Grassquit (Tiaris bicolor huilae),1
Jamaican Oriole (Icterus leucopteryx leucopteryx),1
Bananaquit (Coereba flaveola pacifica),1
Chestnut-bellied Cuckoo (Coccyzus pluvialis),1
Mangrove Warbler (Setophaga petechia oraria),1
Black-whiskered Vireo (Vireo altiloquus barbadensis),1
Bananaquit (Coereba flaveola luteola),1
Bananaquit (Coereba flaveola guianensis?),1
Bananaquit (Coereba flaveola flaveola),1
Ring-tailed Pigeon (Patagioenas caribaea),1
Ruddy Quail-Dove (Geotrygon montana martinica),1
Crested Quail-Dove (Geotrygon versicolor),1
Greater Antillean Grackle (Quiscalus niger caymanensis),1
Greater Antillean Grackle (Quiscalus niger crassirostris),1
