,Unnamed: 0,Common name / Scientific,Length,Recordist,Date,Time,Country,Location,Elev. (m),Type,Remarks,Actions,Cat.nr.,copyright,filename,download url,Common,ID,Order,Family,Genus,Epithet,Species,CommonES,Status,XCRecordings,VoucherMUSM-Orn,Priority,TIME,file_location
51825,273214,Yellow-olive Flatbill (Tolmomyias sulphurescens),0:13,JAYRSON ARAUJO DE OLIVEIRA,2022-05-14,9:49,Brazil,"Estrada Ribeirão do Tigre, Rio dos Cedros, Santa Catarina",650,"adult, sex uncertain, song","bird-seen:yes
playback-used:no
 [sono]",ABCDE,XC725146,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC725146 - Yellow-olive Flatbill - Tolmomyias sulphurescens.mp3,/725146/download,Yellow-olive Flatbill,680,Passeriformes,Tyrannidae,Tolmomyias,sulphurescens,Tolmomyias sulphurescens,Picoplano Sulfuroso,,451,1,,13,./cosmos_data/Yellow-olive Flatbill/XC725146 - Yellow-olive Flatbill - Tolmomyias sulphurescens.mp3
51826,273215,Yellow-olive Flatbill (Tolmomyias sulphurescens),0:22,JAYRSON ARAUJO DE OLIVEIRA,2022-04-09,15:47,Brazil,"Fazenda Grotão, Planaltina, Brasilia, Distrito Federal",1000,"adult, sex uncertain, song","bird-seen:no
playback-used:no
 [sono]",ABCDE,XC714624,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC714624 - Yellow-olive Flatbill - Tolmomyias sulphurescens.mp3,/714624/download,Yellow-olive Flatbill,680,Passeriformes,Tyrannidae,Tolmomyias,sulphurescens,Tolmomyias sulphurescens,Picoplano Sulfuroso,,451,1,,22,./cosmos_data/Yellow-olive Flatbill/XC714624 - Yellow-olive Flatbill - Tolmomyias sulphurescens.mp3
51827,273216,Yellow-olive Flatbill (Tolmomyias sulphurescens),0:30,JAYRSON ARAUJO DE OLIVEIRA,2022-04-01,7:43,Brazil,"Reserva do Setor Sítio de Recreio Caraíbas-Goiânia, Goiás",750,"adult, sex uncertain, song","bird-seen:yes
playback-used:no
  [also]
[sono]",ABCDE,XC713697,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC713697 - Yellow-olive Flatbill - Tolmomyias sulphurescens.mp3,/713697/download,Yellow-olive Flatbill,680,Passeriformes,Tyrannidae,Tolmomyias,sulphurescens,Tolmomyias sulphurescens,Picoplano Sulfuroso,,451,1,,30,./cosmos_data/Yellow-olive Flatbill/XC713697 - Yellow-olive Flatbill - Tolmomyias sulphurescens.mp3
51828,273217,Yellow-olive Flatbill (Tolmomyias sulphurescens),0:04,Fernando Igor de Godoy,2021-04-26,06:30,Brazil,"Aquidauana, Aquidauana, Mato Grosso do Sul",160,song,"bird-seen:no
playback-used:no
 [sono]",ABCDE,XC707638,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC707638 - Yellow-olive Flatbill - Tolmomyias sulphurescens.mp3,/707638/download,Yellow-olive Flatbill,680,Passeriformes,Tyrannidae,Tolmomyias,sulphurescens,Tolmomyias sulphurescens,Picoplano Sulfuroso,,451,1,,4,./cosmos_data/Yellow-olive Flatbill/XC707638 - Yellow-olive Flatbill - Tolmomyias sulphurescens.mp3
51829,273218,Yellow-olive Flatbill (Tolmomyias sulphurescens),0:07,JAYRSON ARAUJO DE OLIVEIRA,2022-03-03,7:11,Brazil,"Taquaral de Goiás, Taquaral de Goiás, Goiás",750,"adult, sex uncertain, song","bird-seen:yes
playback-used:yes
 [sono]",ABCDE,XC706946,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC706946 - Yellow-olive Flatbill - Tolmomyias sulphurescens.mp3,/706946/download,Yellow-olive Flatbill,680,Passeriformes,Tyrannidae,Tolmomyias,sulphurescens,Tolmomyias sulphurescens,Picoplano Sulfuroso,,451,1,,7,./cosmos_data/Yellow-olive Flatbill/XC706946 - Yellow-olive Flatbill - Tolmomyias sulphurescens.mp3
51830,273219,Yellow-olive Flatbill (Tolmomyias sulphurescens),0:29,András Schmidt,2015-06-15,16:55,Brazil,"Miranda, Mato Grosso do Sul",110,"call, life stage uncertain, sex uncertain","No modification on small trees along a canal near Fazenda Sao Francisco, but no exact coordinates. Ferruginous Pygmy Owl call was whistled before to get response from the bird.
bird-seen:yes
playback-used:no
 [sono]",ABCDE,XC699686,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC699686 - Yellow-olive Flatbill - Tolmomyias sulphurescens.mp3,/699686/download,Yellow-olive Flatbill,680,Passeriformes,Tyrannidae,Tolmomyias,sulphurescens,Tolmomyias sulphurescens,Picoplano Sulfuroso,,451,1,,29,./cosmos_data/Yellow-olive Flatbill/XC699686 - Yellow-olive Flatbill - Tolmomyias sulphurescens.mp3
51831,273220,Yellow-olive Flatbill (Tolmomyias sulphurescens),0:53,András Schmidt,2015-06-15,16:55,Brazil,"Miranda, Mato Grosso do Sul",110,"call, life stage uncertain, sex uncertain","No modification on small trees along a canal near Fazenda Sao Francisco, but no exact coordinates. Ferruginous Pygmy Owl call was whistled before to get response from the bird. 
bird-seen:yes
playback-used:no
 [sono]",ABCDE,XC699683,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC699683 - Yellow-olive Flatbill - Tolmomyias sulphurescens.mp3,/699683/download,Yellow-olive Flatbill,680,Passeriformes,Tyrannidae,Tolmomyias,sulphurescens,Tolmomyias sulphurescens,Picoplano Sulfuroso,,451,1,,53,./cosmos_data/Yellow-olive Flatbill/XC699683 - Yellow-olive Flatbill - Tolmomyias sulphurescens.mp3
51832,273221,Yellow-olive Flatbill (Tolmomyias sulphurescens pallescens),0:17,Tulio Dornas,2019-10-02,06:00,Brazil,"Barra Caldeirões-Sobrado, Taguatinga, Tocantins",550,song,"bird-seen:no
playback-used:no
 [sono]",ABCDE,XC698578,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC698578 - Yellow-olive Flatbill - Tolmomyias sulphurescens pallescens.mp3,/698578/download,Yellow-olive Flatbill,680,Passeriformes,Tyrannidae,Tolmomyias,sulphurescens,Tolmomyias sulphurescens,Picoplano Sulfuroso,,451,1,,17,./cosmos_data/Yellow-olive Flatbill/XC698578 - Yellow-olive Flatbill - Tolmomyias sulphurescens pallescens.mp3
51833,273222,Yellow-olive Flatbill (Tolmomyias sulphurescens),0:34,JAYRSON ARAUJO DE OLIVEIRA,2022-01-10,10:32,Brazil,"Reserva Biológica de Pedra Talhada,Quebrangulo,Alagoas",600,"adult, call, sex uncertain","bird-seen:no
playback-used:no
 [sono]",ABCDE,XC697433,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC697433 - Yellow-olive Flatbill - Tolmomyias sulphurescens.mp3,/697433/download,Yellow-olive Flatbill,680,Passeriformes,Tyrannidae,Tolmomyias,sulphurescens,Tolmomyias sulphurescens,Picoplano Sulfuroso,,451,1,,34,./cosmos_data/Yellow-olive Flatbill/XC697433 - Yellow-olive Flatbill - Tolmomyias sulphurescens.mp3
51834,273223,Yellow-olive Flatbill (Tolmomyias sulphurescens),0:10,JAYRSON ARAUJO DE OLIVEIRA,2021-09-23,11:59,Brazil,"Resende, Rio de Janeiro",800,"adult, sex uncertain, song","bird-seen:yes
playback-used:no
  [also]
[sono]",ABCDE,XC677766,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC677766 - Yellow-olive Flatbill - Tolmomyias sulphurescens.mp3,/677766/download,Yellow-olive Flatbill,680,Passeriformes,Tyrannidae,Tolmomyias,sulphurescens,Tolmomyias sulphurescens,Picoplano Sulfuroso,,451,1,,10,./cosmos_data/Yellow-olive Flatbill/XC677766 - Yellow-olive Flatbill - Tolmomyias sulphurescens.mp3
