,Common name / Scientific,Length,Recordist,Date,Time,Country,Location,Elev. (m),Type,Remarks,Actions,Cat.nr.,copyright,filename,download url
0,Jamaican Mango (Anthracothorax mango),0:04,Nick Komar,2018-07-13,07:30,Jamaica,"Ecclesdown Road, Portland Parish",140,flight call,"Recording filtered and normalized.
bird-seen:yes
playback-used:no
 [sono]",ABCDE,XC426031,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC426031 - Jamaican Mango - Anthracothorax mango.mp3,/426031/download
0,Red-billed Streamertail (Trochilus polytmus),0:09,Bobby Wilcox,2022-01-24,11:00,Jamaica,"Green Castle Estate House, Robins Bay, Saint Mary Parish",120,"call, flight call","About 20m away in rainforest. Two males chasing each other.
bird-seen:yes
playback-used:no
 [sono]",ABCDE,XC713792,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC713792 - Red-billed Streamertail - Trochilus polytmus.mp3,/713792/download
1,Red-billed Streamertail (Trochilus polytmus),0:10,Ross Gallardy,2016-03-11,08:30,Jamaica,"Wiltshire, Saint James Parish",280,"call, female","bird-seen:yes
playback-used:no
 [sono]",ABCDE,XC308453,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC308453 - Red-billed Streamertail - Trochilus polytmus.mp3,/308453/download
2,Red-billed Streamertail (Trochilus polytmus),0:17,Ross Gallardy,2016-03-09,09:30,Jamaica,"Blue Mountains National Park, Portland Parish",1200,call,"bird-seen:yes
playback-used:no
 [sono]",ABCDE,XC308420,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC308420 - Red-billed Streamertail - Trochilus polytmus.mp3,/308420/download
3,Red-billed Streamertail (Trochilus polytmus),0:55,Nick Komar,2015-01-18,07:00,Jamaica,"Green Castle Estate House, Robins Bay, Saint Mary Parish",120,"call, wing whir","Sounds were from two male Red-billed Streamertails.
bird-seen:yes
playback-used:no
  [also]
[sono]",ABCDE,XC211349,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC211349 - Red-billed Streamertail - Trochilus polytmus.mp3,/211349/download
0,Black-billed Streamertail (Trochilus scitulus),0:08,Nick Komar,2018-07-13,12:00,Jamaica,"Ecclesdown Road, Portland Parish",140,flight call,"Recording filtered and normalized.
bird-seen:no
playback-used:no
 [sono]",ABCDE,XC426023,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC426023 - Black-billed Streamertail - Trochilus scitulus.mp3,/426023/download
1,Black-billed Streamertail (Trochilus scitulus),0:12,Richard C. Hoyer,2010-04-11,11:36,Jamaica,"Ecclesdown, Portland",220,song,[sono],ABCDE,XC48118,Creative Commons Attribution-NonCommercial-NoDerivs 2.5,XC48118 - Black-billed Streamertail - Trochilus scitulus.mp3,/48118/download
0,Vervain Hummingbird (Mellisuga minima),0:37,Bobby Wilcox,2022-01-27,15:00,Jamaica,"Green Castle Estate House, Robins Bay, Saint Mary Parish",120,flight call,"About 15m away manicured garden. Flight display.
bird-seen:yes
playback-used:no
 [sono]",ABCDE,XC713810,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC713810 - Vervain Hummingbird - Mellisuga minima.mp3,/713810/download
1,Vervain Hummingbird (Mellisuga minima),0:12,Nick Komar,2018-07-13,07:30,Jamaica,"Ecclesdown Road, Portland Parish",140,song,"Recording filtered and normalized.
bird-seen:yes
playback-used:no
 [sono]",ABCDE,XC426022,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC426022 - Vervain Hummingbird - Mellisuga minima.mp3,/426022/download
2,Vervain Hummingbird (Mellisuga minima),0:25,Ross Gallardy,2016-03-16,09:30,Dominican Republic,"Rabo de Gato, Independencia, Dominican Republic",400,song,"bird-seen:yes
playback-used:no
 [sono]",ABCDE,XC308616,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC308616 - Vervain Hummingbird - Mellisuga minima.mp3,/308616/download
