,Common name / Scientific,Length,Recordist,Date,Time,Country,Location,Elev. (m),Type,Remarks,Actions,Cat.nr.,copyright,filename,download url,file_location
0,Common Wood Pigeon (Columba palumbus),0:23,Oscar Campbell,2022-07-27,07:30,Portugal,"Pico da Vigia, Santa Barbara",120,"adult, sex uncertain, song","Song of bird, not seen, in dense forest.
bird-seen:no
playback-used:no
  [also]
[sono]",ABCDE,XC744882,Creative Commons Attribution-NonCommercial-NoDerivs 4.0,XC744882 - Common Wood Pigeon - Columba palumbus.mp3,/744882/download,./nips/data/XC744882 - Common Wood Pigeon - Columba palumbus.mp3
1,Common Wood Pigeon (Columba palumbus),2:01,Lars Edenius,2022-07-29,04:00,Sweden,"Kåddis, Umeå, Västerbottens län",60,song,"Unattended recording
bird-seen:no
playback-used:no
 [sono]",ABCDE,XC742898,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC742898 - Common Wood Pigeon - Columba palumbus.mp3,/742898/download,./nips/data/XC742898 - Common Wood Pigeon - Columba palumbus.mp3
2,Common Wood Pigeon (Columba palumbus),0:41,Craig Brookes,2020-08-07,06:30,United Kingdom,"The Quarry (near  Dursley), Gloucestershire, England",90,"adult, male, song","bird-seen:no
playback-used:no
  [also]
[sono]",ABCDE,XC742189,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC742189 - Common Wood Pigeon - Columba palumbus.mp3,/742189/download,./nips/data/XC742189 - Common Wood Pigeon - Columba palumbus.mp3
3,Common Wood Pigeon (Columba palumbus),0:11,Jorge Leitão,2022-08-08,19:07,Portugal,"Estuário do Âncora, Caminha, Viana do Castelo",0,call,"bird-seen:yes
playback-used:no
 [sono]",ABCDE,XC742088,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC742088 - Common Wood Pigeon - Columba palumbus.mp3,/742088/download,./nips/data/XC742088 - Common Wood Pigeon - Columba palumbus.mp3
4,Common Wood Pigeon (Columba palumbus),1:55,Lars Edenius,2022-07-28,04:00,Sweden,"Kåddis, Umeå, Västerbottens län",60,song,"Unattended recording
bird-seen:no
playback-used:no
  [also]
[sono]",ABCDE,XC741277,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC741277 - Common Wood Pigeon - Columba palumbus.mp3,/741277/download,./nips/data/XC741277 - Common Wood Pigeon - Columba palumbus.mp3
5,Common Wood Pigeon (Columba palumbus),0:19,Jorge Leitão,2022-07-28,08:15,Portugal,"Parque do Bom Jesus (near  Braga), Braga, Braga",400,call,"bird-seen:yes
playback-used:no
  [also]
[sono]",ABCDE,XC740290,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC740290 - Common Wood Pigeon - Columba palumbus.mp3,/740290/download,./nips/data/XC740290 - Common Wood Pigeon - Columba palumbus.mp3
6,Common Wood Pigeon (Columba palumbus),0:08,Gil Lissens,2022-07-23,12:30,Belgium,"Mariekerke Bornemstraat (near  Bornem), Antwerpen, Vlaams Gewest",10,"begging call, juvenile","Recorded with recForge II pro on smartphone. Child calling in the background.
Bird was in tree getting fed by one of the parents.
bird-seen:yes
 [sono]",ABCDE,XC738916,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC738916 - Common Wood Pigeon - Columba palumbus.mp3,/738916/download,./nips/data/XC738916 - Common Wood Pigeon - Columba palumbus.mp3
7,Common Wood Pigeon (Columba palumbus),0:22,Romuald Mikusek,2022-04-24,06:30,Poland,"Gmina Jeziorzany (near  Blizocin), Lubartów County, Lublin Voivodeship",130,"sex uncertain, song, wing-clapping","automatic record SM4
bird-seen:no
playback-used:no
  [also]
[sono]",ABCDE,XC738410,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC738410 - Common Wood Pigeon - Columba palumbus.mp3,/738410/download,./nips/data/XC738410 - Common Wood Pigeon - Columba palumbus.mp3
8,Common Wood Pigeon (Columba palumbus),4:00,Alan Dalton,2022-07-14,22:00,Sweden,Hällögern; Västerbotten,0,"adult, male, song","Binaural recording
bird-seen:yes
playback-used:no
  [also]
[sono]",ABCDE,XC737619,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC737619 - Common Wood Pigeon - Columba palumbus.mp3,/737619/download,./nips/data/XC737619 - Common Wood Pigeon - Columba palumbus.mp3
9,Common Wood Pigeon (Columba palumbus),1:01,Johannes Worona,2022-07-01,09:00,Germany,Berlin-Kreuzberg,40,"adult, alarm call, sex uncertain","A Common woodpigeon (Columba palumbus) reports the arrival of a Hooded crow (Corvus cornix).
Slightly overcast, light wind from sw, ca. 24°C. Urban enviroment with maple, poplar and plane trees, and also some bushes and lawns.
Recorded with a small, hidden recorder set to continuous recording with ALC. Moderate NR applied.
Bird ID verified by automatic wildlife camera.
bird-seen:yes
playback-used:no
  [also]
[sono]",ABCDE,XC736920,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC736920 - Common Wood Pigeon - Columba palumbus.mp3,/736920/download,./nips/data/XC736920 - Common Wood Pigeon - Columba palumbus.mp3
10,Common Wood Pigeon (Columba palumbus),0:14,Johannes Worona,2022-06-30,09:00,Germany,Berlin-Kreuzberg,40,"adult, call, sex uncertain","A Common woodpigeon is warning of Hooded crows.
Clear sky, no wind, ca. 24°C.
Recorded with a small, hidden recorder set to continuous recording with ALC. Moderate NR and amplification applied.
Bird ID verified by automatic wildlife camera.
bird-seen:yes
playback-used:no
 [sono]",ABCDE,XC736889,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC736889 - Common Wood Pigeon - Columba palumbus.mp3,/736889/download,./nips/data/XC736889 - Common Wood Pigeon - Columba palumbus.mp3
11,Common Wood Pigeon (Columba palumbus),0:07,Irish Wildlife Sounds,2022-05-24,07:30,Ireland,"Tacumshane, Wexford, County Wexford",0,wing-claps,"bird-seen:no
playback-used:no
 [sono]",ABCDE,XC735638,Creative Commons Attribution-NonCommercial-NoDerivs 4.0,XC735638 - Common Wood Pigeon - Columba palumbus.mp3,/735638/download,./nips/data/XC735638 - Common Wood Pigeon - Columba palumbus.mp3
12,Common Wood Pigeon (Columba palumbus),0:12,Irish Wildlife Sounds,2022-04-19,07:30,Ireland,"Tacumshane, Wexford, County Wexford",0,wing-claps,"bird-seen:no
playback-used:no
 [sono]",ABCDE,XC735637,Creative Commons Attribution-NonCommercial-NoDerivs 4.0,XC735637 - Common Wood Pigeon - Columba palumbus.mp3,/735637/download,./nips/data/XC735637 - Common Wood Pigeon - Columba palumbus.mp3
13,Common Wood Pigeon (Columba palumbus),0:06,Johannes Worona,2022-06-29,13:00,Germany,Berlin-Kreuzberg,40,"adult, alarm call, sex uncertain","A Common woodpigeon (Columba palumbus) reports Hooded crows (Corvus cornix).
Urban enviroment with basswood, maple, and plane trees and various bushes nearby. Roof area with gravel.
Clear sky, light sw wind, ca. 26°C.
Recorded with a small, hidden recorder set to continuous recording with ALC. Moderate NR, amplification and HPF applied. 
Bird ID verified by automatic wildlife camera.
bird-seen:no
playback-used:no
 [sono]",ABCDE,XC735104,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC735104 - Common Wood Pigeon - Columba palumbus.mp3,/735104/download,./nips/data/XC735104 - Common Wood Pigeon - Columba palumbus.mp3
14,Common Wood Pigeon (Columba palumbus),0:28,Johannes Worona,2022-06-22,08:30,Germany,Berlin-Kreuzberg,40,"adult, male, song","Song of a Common woodpigeon (Columba palumbus) perching on an eaves in presence of Hooded crows (Corvus cornix). 
Urban enviroment with basswood, maple and plane trees and various bushes nearby. Clear sky, ca. 20° C, light wind from sw. 
Recorded with a small hidden recorder close to the birds at a feeding place. NR and HPF applied.
bird-seen:yes
playback-used:no
 [sono]",ABCDE,XC733752,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC733752 - Common Wood Pigeon - Columba palumbus.mp3,/733752/download,./nips/data/XC733752 - Common Wood Pigeon - Columba palumbus.mp3
15,Common Wood Pigeon (Columba palumbus),0:51,Sonothèque ADVL,2022-05-13,09:30,France,"Îles Chausey, Granville, Manche, Normandie",10,song,"Sonothèque des oiseaux de Carolles et de la baie du Mont-Saint-Michel. Association de Défense de la Vallée du Lude et des sites environnants. Enregistrement Sébastien Provost.
 [sono]",ABCDE,XC731683,Creative Commons Public Domain Dedication 1.0,XC731683 - Common Wood Pigeon - Columba palumbus.mp3,/731683/download,./nips/data/XC731683 - Common Wood Pigeon - Columba palumbus.mp3
16,Common Wood Pigeon (Columba palumbus),0:10,Leander Khil,2021-06-19,05:00,Austria,"Gemeinde Frauenkirchen (near  Frauenkirchen), Neusiedl am See, Burgenland",120,"adult, male, song","bird-seen:yes
playback-used:no
  [also]
[sono]",ABCDE,XC729380,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC729380 - Common Wood Pigeon - Columba palumbus.mp3,/729380/download,./nips/data/XC729380 - Common Wood Pigeon - Columba palumbus.mp3
17,Common Wood Pigeon (Columba palumbus),0:23,Johannes Worona,2022-06-01,10:00,Germany,Berlin-Kreuzberg,40,"adult, call, male, sex uncertain","Typical call of the Common woodpigeon recorded with a hidden recorder in short distance to the bird and supported by an automatic wildlife camera. NR applied.
bird-seen:no
playback-used:no
 [sono]",ABCDE,XC728544,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC728544 - Common Wood Pigeon - Columba palumbus.mp3,/728544/download,./nips/data/XC728544 - Common Wood Pigeon - Columba palumbus.mp3
18,Common Wood Pigeon (Columba palumbus),0:22,A. Dreißigacker,2022-05-14,06:14,Germany,"Kreisfreie Stadt Speyer (near  Speyer), Karlsruhe, Rheinland-Pfalz",100,"adult, song","bird-seen:yes
playback-used:no
 [sono]",ABCDE,XC725799,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC725799 - Common Wood Pigeon - Columba palumbus.mp3,/725799/download,./nips/data/XC725799 - Common Wood Pigeon - Columba palumbus.mp3
19,Common Wood Pigeon (Columba palumbus),0:40,Javier García Sáez,2022-05-13,12:00,Spain,"Vega de Toledo (near  El Carpio de Tajo), Toledo, Castile-La Mancha",400,"adult, song","Pidgeon perched on a Populus alba tree, next to the river. 00:22 recording cut due to a long time without singing.
bird-seen:yes
playback-used:no
 [sono]",ABCDE,XC725733,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC725733 - Common Wood Pigeon - Columba palumbus.mp3,/725733/download,./nips/data/XC725733 - Common Wood Pigeon - Columba palumbus.mp3
20,Common Wood Pigeon (Columba palumbus palumbus),6:00,Ruslan Mazuryk,2022-05-16,17:55,Ukraine,"Toky, Pidvolochys'kyi district, Ternopil's'ka oblast",?,"adult, flight call, juvenile, song","bird-seen:yes
  [also]
[sono]",ABCDE,XC725396,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC725396 - Common Wood Pigeon - Columba palumbus palumbus.mp3,/725396/download,./nips/data/XC725396 - Common Wood Pigeon - Columba palumbus palumbus.mp3
21,Common Wood Pigeon (Columba palumbus palumbus),5:03,Ruslan Mazuryk,2022-05-11,19:01,Ukraine,"Toky, Pidvolochys'kyi district, Ternopil's'ka oblast",?,"adult, male, song","bird-seen:yes
  [also]
[sono]",ABCDE,XC725384,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC725384 - Common Wood Pigeon - Columba palumbus palumbus.mp3,/725384/download,./nips/data/XC725384 - Common Wood Pigeon - Columba palumbus palumbus.mp3
